Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.04,132.67,106.53,133.33333333333331
1200,100.95,165.67,116.32,166.66666666666666
1800,103.84,198.73,128.09,200.0
2400,108.89,231.8,141.49,233.33333333333331
3000,115.92,264.91,156.13,266.66666666666663
3600,124.71,298.06,171.97,300.0
4200,135.04,298.5,182.89,300.0
4800,146.29,298.64,191.84,300.0
5400,157.36,298.75,199.91,300.0
6000,167.51,298.87,207.16,300.0
6600,176.56,298.95,213.58,300.0
7200,185.04,299.02,219.53,300.0
7800,192.94,299.09,225.08,300.0
8400,200.31,299.15,230.23,300.0
9000,207.17,299.21,235.03,300.0
9600,213.3,299.27,239.43,300.0
10200,218.92,299.32,243.42,300.0
10800,224.22,299.37,247.14,300.0
11400,229.18,299.41,250.61,300.0
12000,233.82,299.45,253.85,300.0
12600,238.16,299.49,256.87,300.0
13200,242.22,299.52,259.7,300.0
13800,246.01,299.55,262.34,300.0
14400,249.55,299.58,264.81,300.0
