Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.02,112.5,102.95,112.5
1200,100.37,125.0,107.15,125.0
1800,101.49,137.5,112.12,137.5
2400,103.48,150.0,117.67,150.0
3000,106.28,162.5,123.76,162.5
3600,109.83,175.0,130.37,175.0
4200,114.09,187.5,137.46,187.5
4800,118.91,200.0,144.8,200.0
5400,124.24,212.5,152.53,212.5
6000,130.1,225.0,160.65,225.0
6600,136.43,237.5,169.05,237.5
7200,142.98,250.0,177.51,250.0
7800,149.92,262.5,186.31,262.5
8400,157.25,275.0,195.39,275.0
9000,164.77,287.5,204.5,287.5
9600,172.42,300.0,213.73,300.0
10200,180.38,312.5,223.21,312.5
10800,188.64,325.0,232.9,325.0
11400,196.8,337.5,242.41,337.5
12000,205.16,350.0,252.13,350.0
12600,213.78,362.5,262.05,362.5
13200,222.53,375.0,272.02,375.0
13800,231.24,387.5,281.91,387.5
14400,240.15,400.0,292.01,400.0
