Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,250.0,250.0,250.0,250.0
600,250.0,253.27,250.53,253.33333333333337
1200,250.05,256.57,251.38,256.6666666666667
1800,250.23,259.87,252.42,260.0
2400,250.58,259.91,253.1,260.0
3000,251.08,259.92,253.59,260.0
3600,251.62,259.93,254.03,260.0
4200,252.15,259.93,254.42,260.0
4800,252.65,259.94,254.78,260.0
5400,253.13,259.94,255.12,260.0
6000,253.57,259.95,255.44,260.0
6600,253.99,259.95,255.74,260.0
7200,254.38,259.95,256.01,260.0
7800,254.74,256.69,255.74,256.6666666666667
8400,255.04,253.39,255.13,253.33333333333337
9000,255.18,250.09,254.32,250.0
9600,255.12,250.05,253.85,250.0
10200,254.91,250.04,253.56,250.0
10800,254.63,250.04,253.31,250.0
11400,254.34,250.04,253.09,250.0
12000,254.06,250.03,252.89,250.0
12600,253.8,250.03,252.7,250.0
13200,253.56,250.03,252.52,250.0
13800,253.32,250.03,252.36,250.0
14400,253.11,250.03,252.21,250.0
