Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,102.4561089,102.4561089,102.4561089,102.4561089
600,102.46,105.1,103.06,105.1577952
1200,102.53,110.61,104.6,110.7640169
1800,102.83,121.8,107.9,122.1224558
2400,103.65,143.45,114.51,144.108359
3000,105.44,181.93,126.57,183.1371752
3600,108.98,240.91,145.98,242.8396641
4200,115.23,313.5,172.06,316.1669488
4800,124.94,382.33,200.85,385.3655815
5400,138.17,433.1,227.87,436.2037522
6000,154.26,464.14,251.29,467.095814
6600,171.86,480.97,270.77,483.7519426
7200,190.42,489.56,287.64,492.1568627
7800,207.93,481.64,299.46,483.7668069
8400,224.96,465.4,307.39,467.1246106
9000,240.61,435.11,310.3,436.2548898
9600,254.04,385.07,306.1,385.4435846
10200,265.13,316.77,294.03,316.2617207
10800,273.09,244.15,276.12,242.9272825
11400,277.11,184.8,256.87,183.2000202
12000,276.78,145.83,239.77,144.1458117
12600,272.59,123.78,225.88,122.1424016
13200,265.6,112.29,214.8,110.7740139
13800,257.07,106.57,205.74,105.1626545
14400,247.95,103.76,197.98,102.4553864
