Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.37,217.53,122.86,218.83896253537185
1200,104.53,243.76,137.21,245.0202661439505
1800,112.35,261.34,149.91,262.5749029261042
2400,121.77,275.27,161.34,276.4630735801149
3000,131.84,286.88,172.31,288.06229671454525
3600,142.24,296.89,182.95,298.0590519494991
4200,152.77,305.56,193.27,306.70359485482845
4800,162.72,313.48,202.78,314.56142301964553
5400,172.41,320.71,211.93,321.77127980826964
6000,181.97,327.4,220.83,328.4416039145527
6600,191.39,333.65,229.48,334.65659639222054
7200,200.61,339.52,237.85,340.48228768521466
7800,209.02,344.97,245.58,345.9023843511218
8400,217.29,350.14,253.08,351.04725417044494
9000,225.4,355.06,260.38,355.9456813146975
9600,233.33,359.76,267.47,360.6225333511544
10200,241.07,364.26,274.37,365.099269989964
10800,248.46,368.6,280.96,369.3944518312595
11400,255.45,372.71,287.22,373.488136368695
12000,262.29,376.68,293.31,377.4375899779816
12600,268.97,380.51,299.24,381.25354117233246
13200,275.5,384.23,305.01,384.9456575046296
13800,281.86,387.82,310.63,388.5226476511023
14400,288.06,391.31,316.1,391.9923634950056
