Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.01,105.45,101.09,105.55555555555556
1200,100.16,110.94,102.74,111.11111111111111
1800,100.65,116.45,104.74,116.66666666666666
2400,101.52,121.96,107.04,122.22222222222224
3000,102.77,127.48,109.6,127.77777777777776
3600,104.36,133.0,112.41,133.33333333333331
4200,106.28,138.52,115.44,138.88888888888889
4800,108.49,144.04,118.67,144.44444444444446
5400,110.94,149.58,122.02,150.0
6000,113.6,155.11,125.54,155.55555555555554
6600,116.47,160.64,129.23,161.11111111111111
7200,119.55,166.17,133.06,166.66666666666666
7800,122.83,171.7,137.03,172.22222222222223
8400,126.28,177.24,141.12,177.77777777777777
9000,129.9,182.78,145.33,183.33333333333331
9600,133.68,188.32,149.65,188.88888888888889
10200,137.51,193.87,153.97,194.44444444444449
10800,141.35,199.41,158.29,200.0
11400,145.28,199.5,161.66,200.0
12000,149.22,199.55,164.58,200.0
12600,152.97,199.58,167.24,200.0
13200,156.48,199.61,169.7,200.0
13800,159.73,199.64,171.97,200.0
14400,162.74,199.67,174.06,200.0
