Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,180.0,180.0,180.0,180.0
600,180.0,184.17,180.95,184.16666666666663
1200,180.08,188.33,182.29,188.33333333333337
1800,180.36,192.5,183.87,192.5
2400,180.9,196.67,185.65,196.66666666666663
3000,181.69,200.83,187.6,200.83333333333337
3600,182.71,205.0,189.72,205.0
4200,183.96,209.17,191.98,209.16666666666663
4800,185.42,213.33,194.37,213.33333333333331
5400,187.08,217.5,196.9,217.5
6000,188.91,221.67,199.54,221.66666666666663
6600,190.91,225.83,202.28,225.83333333333331
7200,193.02,230.0,205.05,230.0
7800,195.25,234.17,207.93,234.16666666666663
8400,197.6,238.33,210.9,238.33333333333331
9000,200.08,242.5,213.96,242.5
9600,202.68,246.67,217.1,246.66666666666663
10200,205.38,250.83,220.31,250.83333333333331
10800,208.19,255.0,223.58,255.0
11400,211.09,259.17,226.92,259.16666666666663
12000,214.08,263.33,230.31,263.3333333333333
12600,217.15,267.5,233.76,267.5
13200,220.27,271.67,237.22,271.66666666666663
13800,223.35,275.83,240.65,275.8333333333333
14400,226.49,280.0,244.13,280.0
