Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,50.0,50.0,50.0,50.0
600,50.02,66.334,52.894,66.66666666666666
1200,50.484,82.83,57.547,83.33333333333333
1800,51.962,99.351,63.302,100.0
2400,54.576,99.552,67.082,100.0
3000,57.868,99.602,69.923,100.0
3600,61.192,99.638,72.41,100.0
4200,64.322,99.668,74.665,100.0
4800,67.218,99.695,76.729,100.0
5400,69.883,99.72,78.622,100.0
6000,72.333,99.743,80.362,100.0
6600,74.583,99.764,81.959,100.0
7200,76.651,99.783,83.427,100.0
7800,78.53,83.468,81.881,83.33333333333334
8400,79.812,66.988,78.466,66.66666666666667
9000,79.937,50.483,73.849,50.0
9600,78.795,50.294,71.115,50.0
10200,76.855,50.257,69.234,50.0
10800,74.775,50.233,67.629,50.0
11400,72.786,50.213,66.184,50.0
12000,70.939,50.195,64.865,50.0
12600,69.237,50.179,63.655,50.0
13200,67.673,50.165,62.544,50.0
13800,66.235,50.151,61.524,50.0
14400,64.914,50.139,60.586,50.0
