Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,22.12832434,22.12832434,22.12832434,22.12832434
600,22.231,23.56,22.535,23.37221875
1200,22.267,26.354,23.313,25.94984938
1800,22.423,32.083,25.001,31.16958038
2400,22.84,43.465,28.455,41.26303206
3000,23.781,64.669,35.09,59.14795518
3600,25.724,99.845,46.641,86.42588314
4200,29.423,148.28,63.942,119.7961029
4800,35.777,200.42,85.193,151.153924
5400,45.342,243.44,106.83,174.1094469
6000,57.853,271.99,126.15,188.0246529
6600,72.362,288.25,142.93,195.5167592
7200,87.776,296.81,156.8,199.2945736
7800,103.05,288.85,166.27,195.5167592
8400,117.53,273.1,172.04,188.0246529
9000,129.99,245.13,172.88,174.1094469
9600,140.22,202.54,167.59,151.153924
10200,147.67,150.64,156.49,119.7961029
10800,151.7,102.06,142.29,86.42588314
11400,151.93,66.57,128.34,59.14795518
12000,148.67,45.056,116.59,41.26303206
12600,142.86,33.424,106.97,31.16958038
13200,135.65,27.517,99.116,25.94984938
13800,127.93,24.592,92.457,23.37221875
14400,120.25,23.154,86.629,22.12832434
