Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.02,109.96,101.8,110.09
1200,100.33,114.12,103.46,114.26666666666668
1800,101.06,117.43,105.1,117.585
2400,102.08,120.2,106.72,120.36
3000,103.3,122.63,108.35,122.8
3600,104.65,124.83,109.99,125.0
4200,106.09,126.82,111.62,126.99166666666667
4800,107.59,128.68,113.26,128.85000000000002
5400,109.13,130.43,114.88,130.60000000000002
6000,110.7,132.09,116.5,132.26
6600,112.29,133.67,118.1,133.84333333333333
7200,113.88,135.19,119.69,135.36
7800,115.48,136.62,121.25,136.79333333333335
8400,117.06,138.01,122.8,138.18
9000,118.64,139.35,124.32,139.51999999999998
9600,120.2,140.65,125.81,140.81666666666666
10200,121.74,141.91,127.28,142.07500000000002
10800,123.27,143.14,128.73,143.3
11400,124.77,144.33,130.15,144.48333333333332
12000,126.24,145.49,131.53,145.64
12600,127.63,146.62,132.84,146.765
13200,129.0,147.72,134.13,147.86333333333334
13800,130.35,148.8,135.4,148.94166666666666
14400,131.68,149.86,136.66,150.0
