Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
153.97,100.0,100.51,100.05,100.51
293.97,100.0,100.99,100.12,100.99
433.97,100.0,101.47,100.21,101.47
583.97,100.0,101.99,100.33,101.99
723.97,100.01,102.47,100.44,102.47
873.97,100.02,102.98,100.58,102.98
1014.0,100.03,103.46,100.71,103.46
1154.0,100.05,103.95,100.85,103.95
1304.0,100.08,104.46,101.02,104.46
1444.0,100.12,104.94,101.18,104.94
1594.0,100.16,105.46,101.35,105.46
1734.0,100.22,105.94,101.52,105.94
1874.0,100.28,106.42,101.7,106.42
2024.0,100.35,106.94,101.9,106.94
2164.0,100.43,107.42,102.09,107.42
2314.0,100.52,107.94,102.3,107.94
2454.0,100.61,108.42,102.51,108.42
2594.0,100.71,108.9,102.72,108.9
2744.0,100.82,109.42,102.95,109.42
2884.0,100.94,109.9,103.17,109.9
3034.0,101.07,110.42,103.41,110.42
3174.0,101.2,110.9,103.64,110.9
3314.0,101.34,111.39,103.88,111.39
3464.0,101.49,111.9,104.13,111.9
3604.0,101.64,112.39,104.38,112.39
3754.0,101.81,112.91,104.65,112.91
3894.0,101.97,113.39,104.9,113.39
4034.0,102.14,113.87,105.16,113.87
4184.0,102.33,114.39,105.45,114.39
4324.0,102.52,114.87,105.72,114.87
4474.0,102.72,115.39,106.01,115.39
4614.0,102.91,115.87,106.29,115.87
4754.0,103.12,116.36,106.57,116.36
4904.0,103.34,116.88,106.87,116.88
5044.0,103.55,117.36,107.16,117.36
5194.0,103.78,117.88,107.48,117.88
5334.0,104.01,118.36,107.78,118.36
5474.0,104.23,118.84,108.08,118.84
5624.0,104.49,119.36,108.4,119.36
5764.0,104.72,119.85,108.71,119.85
5914.0,104.99,120.36,109.05,120.36
6054.0,105.23,120.85,109.36,120.85
6194.0,105.49,121.33,109.68,121.33
6344.0,105.76,121.85,110.03,121.85
6484.0,106.03,122.34,110.36,122.34
6634.0,106.31,122.85,110.71,122.85
6774.0,106.58,123.34,111.04,123.34
6914.0,106.86,123.82,111.38,123.82
7064.0,107.16,124.34,111.74,124.34
7204.0,107.44,124.83,112.08,124.83
7354.0,107.75,125.34,112.45,125.34
7494.0,108.05,125.83,112.8,125.83
7634.0,108.34,126.31,113.15,126.31
7784.0,108.66,126.83,113.52,126.83
7924.0,108.97,127.32,113.88,127.32
8074.0,109.3,127.84,114.26,127.84
8214.0,109.61,128.32,114.62,128.32
8354.0,109.92,128.8,114.99,128.8
8504.0,110.26,129.32,115.38,129.32
8644.0,110.58,129.81,115.75,129.81
8794.0,110.93,130.33,116.14,130.33
8934.0,111.26,130.81,116.52,130.81
9074.0,111.59,131.3,116.89,131.3
9224.0,111.95,131.82,117.3,131.82
9364.0,112.29,132.3,117.67,132.3
9514.0,112.65,132.82,118.08,132.82
9654.0,112.99,133.3,118.47,133.3
9794.0,113.34,133.79,118.85,133.79
9944.0,113.71,134.31,119.27,134.31
10084.0,114.06,134.79,119.66,134.79
10234.0,114.44,135.31,120.08,135.31
10374.0,114.8,135.8,120.47,135.8
10514.0,115.16,136.28,120.87,136.28
10664.0,115.55,136.8,121.29,136.8
10804.0,115.91,137.29,121.69,137.29
10954.0,116.31,137.81,122.12,137.81
11094.0,116.68,138.29,122.52,138.29
11234.0,117.05,138.78,122.93,138.78
11384.0,117.45,139.3,123.36,139.3
11524.0,117.82,139.78,123.77,139.78
11674.0,118.23,140.3,124.21,140.3
11814.0,118.61,140.79,124.62,140.79
11954.0,118.99,141.27,125.03,141.27
12104.0,119.41,141.79,125.47,141.79
12244.0,119.79,142.28,125.89,142.28
12394.0,120.21,142.8,126.33,142.8
12534.0,120.6,143.28,126.75,143.28
12674.0,120.99,143.77,127.17,143.77
12824.0,121.42,144.29,127.62,144.29
12964.0,121.81,144.77,128.04,144.77
13114.0,122.23,145.3,128.49,145.3
13254.0,122.62,145.78,128.89,145.78
13394.0,123.01,146.27,129.3,146.27
13544.0,123.42,146.79,129.74,146.79
13684.0,123.81,147.27,130.15,147.27
13834.0,124.23,147.79,130.6,147.79
13974.0,124.62,148.28,131.01,148.28
14114.0,125.01,148.76,131.43,148.76
14264.0,125.43,149.28,131.88,149.28
14400.0,125.82,149.75,132.28,149.75
