Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,220.0,220.0,220.0,220.0
160.93,220.0,222.05,220.21,222.05
340.93,220.0,224.4,220.57,224.4
460.93,220.0,225.96,220.86,225.96
580.93,220.01,227.53,221.19,227.53
760.93,220.02,229.88,221.72,229.88
880.93,220.05,231.45,222.11,231.45
1060.9,220.1,233.81,222.74,233.81
1180.9,220.15,235.38,223.18,235.38
1300.9,220.21,236.95,223.64,236.95
1480.9,220.33,239.3,224.36,239.3
1600.9,220.44,240.88,224.86,240.88
1780.9,220.62,243.23,225.65,243.23
1900.9,220.77,244.81,226.19,244.81
2020.9,220.93,246.38,226.75,246.38
2200.9,221.21,248.74,227.62,248.74
2320.9,221.42,250.31,228.21,250.31
2500.9,221.77,252.67,229.13,252.67
2620.9,222.02,254.24,229.76,254.24
2740.9,222.29,255.82,230.41,255.82
2920.9,222.73,258.18,231.4,258.18
3040.9,223.05,259.75,232.07,259.75
3220.9,223.55,262.11,233.11,262.11
3340.9,223.91,263.69,233.82,263.69
3460.9,224.28,265.27,234.52,265.27
3640.9,224.87,267.63,235.59,267.63
3760.9,225.28,269.2,236.32,269.2
3940.9,225.93,271.57,237.44,271.57
4060.9,226.38,273.14,238.21,273.14
4180.9,226.84,274.72,238.98,274.72
4360.9,227.56,277.08,240.17,277.08
4480.9,228.06,278.65,240.97,278.65
4660.9,228.83,281.02,242.19,281.02
4780.9,229.37,282.59,243.02,282.59
4900.9,229.91,284.17,243.86,284.17
5080.9,230.76,286.53,245.14,286.53
5200.9,231.34,288.11,246.0,288.11
5380.9,232.24,290.47,247.32,290.47
5500.9,232.85,292.05,248.21,292.05
5620.9,233.48,293.62,249.1,293.62
5800.9,234.45,295.99,250.47,295.99
5920.9,235.11,297.56,251.39,297.56
6100.9,236.12,299.93,252.79,299.93
6220.9,236.81,301.51,253.73,301.51
6340.9,237.51,303.08,254.68,303.08
6520.9,238.59,305.45,256.13,305.45
6640.9,239.32,307.03,257.1,307.03
6820.9,240.44,309.39,258.58,309.39
6940.9,241.18,310.98,259.53,310.98
7060.9,241.94,312.56,260.5,312.56
7240.9,243.08,314.93,261.97,314.93
7360.9,243.86,316.5,262.96,316.5
7540.9,245.04,318.87,264.46,318.87
7660.9,245.84,320.45,265.48,320.45
7780.9,246.65,322.02,266.5,322.02
7960.9,247.89,324.39,268.04,324.39
8080.9,248.72,325.97,269.08,325.97
8260.9,249.98,328.33,270.66,328.33
8380.9,250.84,329.91,271.72,329.91
8500.9,251.7,331.49,272.78,331.49
8680.9,253.02,333.86,274.39,333.86
8800.9,253.91,335.44,275.48,335.44
8980.9,255.25,337.8,277.11,337.8
9100.9,256.16,339.38,278.21,339.38
9220.9,257.08,340.96,279.32,340.96
9400.9,258.47,343.33,280.99,343.33
9520.9,259.41,344.91,282.11,344.91
9700.9,260.84,347.28,283.8,347.28
9820.9,261.8,348.85,284.94,348.85
9940.9,262.77,350.43,286.08,350.43
10121.0,264.24,352.8,287.8,352.8
10241.0,265.22,354.38,288.96,354.38
10421.0,266.67,356.77,290.63,356.77
10541.0,267.65,358.35,291.75,358.35
10661.0,268.63,359.93,292.89,359.93
10841.0,270.11,362.29,294.6,362.29
10961.0,271.11,363.87,295.75,363.87
11141.0,272.61,366.24,297.49,366.24
11261.0,273.63,367.82,298.66,367.82
11381.0,274.64,369.4,299.83,369.4
11561.0,276.18,371.77,301.6,371.77
11681.0,277.22,373.35,302.78,373.35
11861.0,278.78,375.72,304.57,375.72
11981.0,279.83,377.3,305.77,377.3
12101.0,280.89,378.88,306.97,378.88
12281.0,282.48,381.25,308.78,381.25
12401.0,283.56,382.83,310.0,382.83
12581.0,285.18,385.2,311.83,385.2
12701.0,286.26,386.77,313.06,386.77
12821.0,287.36,388.35,314.29,388.35
13001.0,289.01,390.72,316.14,390.72
13121.0,290.12,392.3,317.38,392.3
13301.0,291.79,394.67,319.26,394.67
13421.0,292.92,396.25,320.51,396.25
13541.0,294.05,397.83,321.77,397.83
13721.0,295.73,400.23,323.63,400.23
13841.0,296.83,401.81,324.84,401.81
14021.0,298.49,404.18,326.67,404.18
14141.0,299.6,405.76,327.9,405.76
14261.0,300.72,407.34,329.13,407.34
14400.0,302.02,409.17,330.57,409.17
