Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,103.6,103.6,103.6,103.6
153.97,103.6,103.93,103.63,103.93
293.97,103.6,104.24,103.68,104.24
433.97,103.6,104.56,103.74,104.56
583.97,103.6,104.93,103.82,104.93
723.97,103.6,105.28,103.9,105.28
873.97,103.61,105.77,104.0,105.77
1014.0,103.62,106.23,104.12,106.23
1154.0,103.63,106.71,104.24,106.71
1304.0,103.65,107.25,104.39,107.25
1444.0,103.68,107.75,104.53,107.75
1594.0,103.71,108.45,104.72,108.45
1734.0,103.75,109.11,104.9,109.11
1874.0,103.8,109.82,105.11,109.82
2024.0,103.86,110.64,105.35,110.64
2164.0,103.92,111.42,105.59,111.42
2314.0,104.0,112.36,105.88,112.36
2454.0,104.09,113.25,106.16,113.25
2594.0,104.18,114.23,106.47,114.23
2744.0,104.3,115.39,106.84,115.39
2884.0,104.42,116.47,107.2,116.47
3034.0,104.56,117.87,107.63,117.87
3174.0,104.71,119.18,108.06,119.18
3314.0,104.87,120.56,108.52,120.56
3464.0,105.07,122.13,109.06,122.13
3604.0,105.26,123.61,109.58,123.61
3754.0,105.49,125.62,110.21,125.62
3894.0,105.73,127.5,110.84,127.5
4034.0,105.99,129.39,111.51,129.39
4184.0,106.29,131.42,112.26,131.42
4324.0,106.59,133.32,112.99,133.32
4474.0,106.94,135.93,113.86,135.93
4614.0,107.3,138.37,114.72,138.37
4754.0,107.68,140.82,115.63,140.82
4904.0,108.13,143.44,116.64,143.44
5044.0,108.57,145.91,117.63,145.91
5194.0,109.08,149.15,118.76,149.15
5334.0,109.59,152.17,119.86,152.17
5474.0,110.13,155.19,121.02,155.19
5624.0,110.74,158.44,122.31,158.44
5764.0,111.35,161.48,123.56,161.48
5914.0,112.04,165.25,124.99,165.25
6054.0,112.73,168.77,126.39,168.77
6194.0,113.46,172.3,127.84,172.3
6344.0,114.28,176.09,129.45,176.09
6484.0,115.1,179.62,131.0,179.62
6634.0,116.02,183.69,132.74,183.69
6774.0,116.93,187.49,134.41,187.49
6914.0,117.88,191.3,136.13,191.3
7064.0,118.94,195.39,137.98,195.39
7204.0,119.97,199.19,139.73,199.19
7354.0,121.13,203.26,141.65,203.26
7494.0,122.25,207.07,143.49,207.07
7634.0,123.41,210.87,145.37,210.87
7784.0,124.71,214.95,147.43,214.95
7924.0,125.97,218.75,149.39,218.75
8074.0,127.36,222.55,151.51,222.55
8214.0,128.71,226.09,153.5,226.09
8354.0,130.1,229.63,155.52,229.63
8504.0,131.64,233.42,157.71,233.42
8644.0,133.12,236.95,159.78,236.95
8794.0,134.72,240.25,161.92,240.25
8934.0,136.23,243.29,163.88,243.29
9074.0,137.78,246.33,165.87,246.33
9224.0,139.47,249.58,168.01,249.58
9364.0,141.08,252.61,170.03,252.61
9514.0,142.84,255.26,172.16,255.26
9654.0,144.5,257.73,174.13,257.73
9794.0,146.2,260.2,176.1,260.2
9944.0,148.03,262.84,178.22,262.84
10084.0,149.77,265.29,180.2,265.29
10234.0,151.66,267.34,182.27,267.34
10374.0,153.43,269.25,184.18,269.25
10514.0,155.23,271.16,186.08,271.16
10664.0,157.16,273.2,188.1,273.2
10804.0,158.98,275.1,189.99,275.1
10954.0,160.94,276.7,191.96,276.7
11094.0,162.78,278.18,193.78,278.18
11234.0,164.62,279.59,195.58,279.59
11384.0,166.6,281.02,197.48,281.02
11524.0,168.45,282.34,199.24,282.34
11674.0,170.43,283.52,201.08,283.52
11814.0,172.17,284.65,202.68,284.65
11954.0,173.9,285.65,204.25,285.65
12104.0,175.74,286.62,205.9,286.62
12244.0,177.45,287.52,207.42,287.52
12394.0,179.28,288.36,209.03,288.36
12534.0,180.98,289.15,210.51,289.15
12674.0,182.66,289.88,211.97,289.88
12824.0,184.46,290.6,213.51,290.6
12964.0,186.13,291.27,214.93,291.27
13114.0,187.9,291.82,216.42,291.82
13254.0,189.54,292.34,217.78,292.34
13394.0,191.17,292.84,219.13,292.84
13544.0,192.9,293.35,220.55,293.35
13684.0,194.5,293.83,221.86,293.83
13834.0,196.19,294.22,223.23,294.22
13974.0,197.76,294.58,224.49,294.58
14114.0,199.32,294.92,225.73,294.92
14264.0,200.96,295.26,227.04,295.26
14400.0,202.44,295.58,228.2,295.58
