Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
153.97,100.0,102.06,100.2,102.06
293.97,100.0,103.97,100.49,103.97
433.97,100.0,105.89,100.86,105.89
583.97,100.01,107.95,101.3,107.95
723.97,100.03,109.87,101.77,109.87
873.97,100.06,111.93,102.31,111.93
1014.0,100.12,113.86,102.85,113.86
1154.0,100.21,115.78,103.42,115.78
1304.0,100.33,117.85,104.07,117.85
1444.0,100.47,119.77,104.7,119.77
1594.0,100.66,121.84,105.41,121.84
1734.0,100.86,123.77,106.1,123.77
1874.0,101.1,125.69,106.81,125.69
2024.0,101.4,127.76,107.61,127.76
2164.0,101.7,129.69,108.37,129.69
2314.0,102.06,131.76,109.22,131.76
2454.0,102.43,133.69,110.03,133.69
2594.0,102.83,135.62,110.87,135.62
2744.0,103.29,137.69,111.79,137.69
2884.0,103.75,139.62,112.67,139.62
3034.0,104.28,141.69,113.63,141.69
3174.0,104.8,143.62,114.56,143.62
3314.0,105.34,145.56,115.49,145.56
3464.0,105.95,147.62,116.49,147.62
3604.0,106.55,149.56,117.44,149.56
3754.0,107.22,151.63,118.49,151.63
3894.0,107.86,153.56,119.49,153.56
4034.0,108.53,155.49,120.51,155.49
4184.0,109.27,157.56,121.63,157.56
4324.0,109.99,159.49,122.69,159.49
4474.0,110.78,161.57,123.84,161.57
4614.0,111.54,163.5,124.93,163.5
4754.0,112.32,165.43,126.04,165.43
4904.0,113.19,167.5,127.25,167.5
5044.0,114.02,169.44,128.39,169.44
5194.0,114.93,171.51,129.63,171.51
5334.0,115.8,173.45,130.8,173.45
5474.0,116.7,175.38,131.99,175.38
5624.0,117.68,177.45,133.28,177.45
5764.0,118.61,179.39,134.5,179.39
5914.0,119.63,181.46,135.82,181.46
6054.0,120.61,183.4,137.07,183.4
6194.0,121.6,185.33,138.33,185.33
6344.0,122.68,187.41,139.69,187.41
6484.0,123.71,189.34,140.98,189.34
6634.0,124.81,191.43,142.32,191.43
6774.0,125.83,193.37,143.57,193.37
6914.0,126.87,195.3,144.85,195.3
7064.0,128.0,197.38,146.22,197.38
7204.0,129.07,199.27,147.52,199.27
7354.0,130.23,199.33,148.75,199.33
7494.0,131.33,199.35,149.79,199.35
7634.0,132.44,199.37,150.79,199.37
7784.0,133.64,199.39,151.81,199.39
7924.0,134.77,199.4,152.72,199.4
8074.0,135.98,199.42,153.68,199.42
8214.0,137.1,199.43,154.55,199.43
8354.0,138.21,199.44,155.39,199.44
8504.0,139.39,199.45,156.28,199.45
8644.0,140.48,199.46,157.08,199.46
8794.0,141.63,199.47,157.93,199.47
8934.0,142.69,199.48,158.7,199.48
9074.0,143.73,199.49,159.46,199.49
9224.0,144.82,199.5,160.25,199.5
9364.0,145.83,199.51,160.98,199.51
9514.0,146.88,199.52,161.75,199.52
9654.0,147.85,199.53,162.45,199.53
9794.0,148.8,199.54,163.13,199.54
9944.0,149.8,199.55,163.86,199.55
10084.0,150.72,199.56,164.52,199.56
10234.0,151.68,199.57,165.21,199.57
10374.0,152.56,199.57,165.85,199.57
10514.0,153.43,199.58,166.47,199.58
10664.0,154.34,199.59,167.13,199.59
10804.0,155.18,199.6,167.73,199.6
10954.0,156.05,199.61,168.36,199.61
11094.0,156.85,199.61,168.94,199.61
11234.0,157.64,199.62,169.5,199.62
11384.0,158.47,199.63,170.1,199.63
11524.0,159.23,199.63,170.65,199.63
11674.0,160.03,199.64,171.22,199.64
11814.0,160.76,199.65,171.75,199.65
11954.0,161.48,199.65,172.26,199.65
12104.0,162.23,199.66,172.81,199.66
12244.0,162.92,199.67,173.3,199.67
12394.0,163.64,199.67,173.83,199.67
12534.0,164.31,199.68,174.3,199.68
12674.0,164.96,199.69,174.77,199.69
12824.0,165.65,199.69,175.27,199.69
12964.0,166.27,199.7,175.72,199.7
13114.0,166.93,199.7,176.19,199.7
13254.0,167.54,199.71,176.63,199.71
13394.0,168.13,199.71,177.06,199.71
13544.0,168.75,199.72,177.5,199.72
13684.0,169.33,199.72,177.92,199.72
13834.0,169.88,199.73,178.33,199.73
13974.0,170.39,199.74,178.71,199.74
14114.0,170.9,199.74,179.08,199.74
14264.0,171.43,199.75,179.46,199.75
14400.0,171.9,199.75,179.81,199.75
