Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,input_type,ambient_temperature,convection_coefficient,shape,length,height,diameter_of_hx,density,thermal_conductivity,specific_heat
153.93,160.0,161.03,160.09,160.0,temperature,300,20,cylindrical,20,3,3,200,2,400
293.93,160.0,161.98,160.24,160.9827271661588,temperature,300,20,cylindrical,20,3,3,200,2,400
433.93,160.0,162.94,160.41,161.96545433231762,temperature,300,20,cylindrical,20,3,3,200,2,400
583.93,160.0,163.97,160.63,163.0183762960592,temperature,300,20,cylindrical,20,3,3,200,2,400
723.93,160.01,164.93,160.85,164.001103462218,temperature,300,20,cylindrical,20,3,3,200,2,400
873.93,160.02,165.97,161.11,165.0540254259596,temperature,300,20,cylindrical,20,3,3,200,2,400
1013.9,160.04,166.93,161.36,166.03654200772564,temperature,300,20,cylindrical,20,3,3,200,2,400
1153.9,160.08,167.89,161.64,167.01926917388445,temperature,300,20,cylindrical,20,3,3,200,2,400
1303.9,160.12,168.92,161.95,168.07219113762602,temperature,300,20,cylindrical,20,3,3,200,2,400
1443.9,160.18,169.89,162.25,169.05491830378483,temperature,300,20,cylindrical,20,3,3,200,2,400
1593.9,160.26,170.92,162.59,170.1078402675264,temperature,300,20,cylindrical,20,3,3,200,2,400
1733.9,160.34,171.88,162.92,171.0905674336852,temperature,300,20,cylindrical,20,3,3,200,2,400
1873.9,160.44,172.85,163.26,172.07329459984402,temperature,300,20,cylindrical,20,3,3,200,2,400
2023.9,160.57,173.88,163.64,173.1262165635856,temperature,300,20,cylindrical,20,3,3,200,2,400
2163.9,160.69,174.85,164.01,174.10894372974442,temperature,300,20,cylindrical,20,3,3,200,2,400
2313.9,160.85,175.88,164.41,175.161865693486,temperature,300,20,cylindrical,20,3,3,200,2,400
2453.9,161.01,176.84,164.8,176.1445928596448,temperature,300,20,cylindrical,20,3,3,200,2,400
2593.9,161.18,177.81,165.2,177.1273200258036,temperature,300,20,cylindrical,20,3,3,200,2,400
2743.9,161.38,178.84,165.64,178.18024198954518,temperature,300,20,cylindrical,20,3,3,200,2,400
2883.9,161.58,179.81,166.05,179.162969155704,temperature,300,20,cylindrical,20,3,3,200,2,400
3033.9,161.81,180.84,166.51,180.2158911194456,temperature,300,20,cylindrical,20,3,3,200,2,400
3173.9,162.04,181.81,166.95,181.1986182856044,temperature,300,20,cylindrical,20,3,3,200,2,400
3313.9,162.29,182.77,167.4,182.1813454517632,temperature,300,20,cylindrical,20,3,3,200,2,400
3463.9,162.56,183.81,167.89,183.2342674155048,temperature,300,20,cylindrical,20,3,3,200,2,400
3603.9,162.83,184.78,168.36,184.2169945816636,temperature,300,20,cylindrical,20,3,3,200,2,400
3753.9,163.13,185.81,168.87,185.26991654540515,temperature,300,20,cylindrical,20,3,3,200,2,400
3893.9,163.42,186.78,169.36,186.252643711564,temperature,300,20,cylindrical,20,3,3,200,2,400
4033.9,163.73,187.74,169.85,187.2353708777228,temperature,300,20,cylindrical,20,3,3,200,2,400
4183.9,164.07,188.78,170.39,188.28829284146437,temperature,300,20,cylindrical,20,3,3,200,2,400
4323.9,164.4,189.75,170.91,189.27102000762315,temperature,300,20,cylindrical,20,3,3,200,2,400
4473.9,164.77,190.78,171.46,190.32394197136472,temperature,300,20,cylindrical,20,3,3,200,2,400
4613.9,165.12,191.75,171.99,191.30666913752356,temperature,300,20,cylindrical,20,3,3,200,2,400
4753.9,165.48,192.71,172.53,192.28939630368237,temperature,300,20,cylindrical,20,3,3,200,2,400
