Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,input_type,ambient_temperature,convection_coefficient,shape,length,height,diameter_of_hx,density,thermal_conductivity,specific_heat
153.97,105.4,105.89,105.45,105.91281847639723,temperature,300,20,cylindrical,20,3,3,200,2,400
293.97,105.4,106.35,105.52,106.37957700474026,temperature,300,20,cylindrical,20,3,3,200,2,400
433.97,105.4,106.85,105.61,106.84888834221888,temperature,300,20,cylindrical,20,3,3,200,2,400
583.97,105.4,107.43,105.73,107.3961535512732,temperature,300,20,cylindrical,20,3,3,200,2,400
723.97,105.41,107.97,105.85,108.01982908796994,temperature,300,20,cylindrical,20,3,3,200,2,400
873.97,105.42,108.79,106.02,108.84391419848178,temperature,300,20,cylindrical,20,3,3,200,2,400
1014.0,105.43,109.56,106.2,109.64829601182,temperature,300,20,cylindrical,20,3,3,200,2,400
1154.0,105.45,110.27,106.4,110.35686057525234,temperature,300,20,cylindrical,20,3,3,200,2,400
1304.0,105.48,110.97,106.61,111.02773680774514,temperature,300,20,cylindrical,20,3,3,200,2,400
1444.0,105.52,111.63,106.82,111.7221400961092,temperature,300,20,cylindrical,20,3,3,200,2,400
1594.0,105.57,112.66,107.09,112.66275806268057,temperature,300,20,cylindrical,20,3,3,200,2,400
1734.0,105.63,113.62,107.36,113.687207339527,temperature,300,20,cylindrical,20,3,3,200,2,400
1874.0,105.71,114.68,107.66,114.78799341916503,temperature,300,20,cylindrical,20,3,3,200,2,400
2024.0,105.8,115.92,108.02,116.02285502902969,temperature,300,20,cylindrical,20,3,3,200,2,400
2164.0,105.89,117.08,108.39,117.23554059151893,temperature,300,20,cylindrical,20,3,3,200,2,400
2314.0,106.01,118.51,108.81,118.61429269313126,temperature,300,20,cylindrical,20,3,3,200,2,400
2454.0,106.14,119.86,109.24,120.00285072303932,temperature,300,20,cylindrical,20,3,3,200,2,400
2594.0,106.28,121.37,109.71,121.51798247824328,temperature,300,20,cylindrical,20,3,3,200,2,400
2744.0,106.45,123.14,110.26,123.28586322829987,temperature,300,20,cylindrical,20,3,3,200,2,400
2884.0,106.63,124.8,110.81,125.05183380929827,temperature,300,20,cylindrical,20,3,3,200,2,400
3034.0,106.84,126.86,111.46,127.05295437023806,temperature,300,20,cylindrical,20,3,3,200,2,400
3174.0,107.07,128.78,112.1,129.02904676450487,temperature,300,20,cylindrical,20,3,3,200,2,400
3314.0,107.31,130.87,112.79,131.12052437637817,temperature,300,20,cylindrical,20,3,3,200,2,400
3464.0,107.6,133.26,113.59,133.50232042779948,temperature,300,20,cylindrical,20,3,3,200,2,400
3604.0,107.89,135.51,114.38,135.86968784853997,temperature,300,20,cylindrical,20,3,3,200,2,400
3754.0,108.24,138.51,115.33,138.57285769325375,temperature,300,20,cylindrical,20,3,3,200,2,400
3894.0,108.59,141.32,116.28,141.2558429052482,temperature,300,20,cylindrical,20,3,3,200,2,400
4034.0,108.98,144.13,117.28,144.09625082745575,temperature,300,20,cylindrical,20,3,3,200,2,400
4184.0,109.42,147.14,118.4,147.31746989710544,temperature,300,20,cylindrical,20,3,3,200,2,400
4324.0,109.88,149.98,119.48,150.49302249908908,temperature,300,20,cylindrical,20,3,3,200,2,400
4474.0,110.4,153.89,120.73,154.07993899400807,temperature,300,20,cylindrical,20,3,3,200,2,400
4614.0,110.93,157.55,121.99,157.60327233577462,temperature,300,20,cylindrical,20,3,3,200,2,400
4754.0,111.49,161.21,123.32,161.29933860163536,temperature,300,20,cylindrical,20,3,3,200,2,400
4904.0,112.14,165.13,124.81,165.45468742329288,temperature,300,20,cylindrical,20,3,3,200,2,400
5044.0,112.79,168.82,126.25,169.51862959680471,temperature,300,20,cylindrical,20,3,3,200,2,400
5194.0,113.53,173.67,127.94,174.07322297766183,temperature,300,20,cylindrical,20,3,3,200,2,400
5334.0,114.28,178.22,129.61,178.50560120072743,temperature,300,20,cylindrical,20,3,3,200,2,400
5474.0,115.07,182.77,131.36,183.1062993999193,temperature,300,20,cylindrical,20,3,3,200,2,400
5624.0,115.98,187.64,133.3,188.21480290629364,temperature,300,20,cylindrical,20,3,3,200,2,400
