Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,200.0,200.0,200.0,200.0
153.9,200.0,204.6,200.41,204.6
293.9,200.0,206.9,200.87,206.9
433.9,200.0,208.42,201.28,208.42
583.9,200.01,209.78,201.69,209.78
723.9,200.03,211.03,202.08,211.03
873.9,200.06,212.0,202.47,212.0
1013.9,200.12,212.9,202.82,212.9
1153.9,200.19,213.79,203.18,213.79
1303.9,200.29,214.75,203.57,214.75
1443.9,200.41,215.64,203.94,215.64
1593.9,200.55,216.38,204.32,216.38
1733.9,200.7,217.07,204.67,217.07
1873.9,200.87,217.76,205.02,217.76
2023.9,201.06,218.49,205.4,218.49
2163.9,201.26,219.18,205.75,219.18
2313.9,201.48,219.8,206.13,219.8
2453.9,201.7,220.38,206.48,220.38
2593.9,201.93,220.97,206.83,220.97
2743.9,202.18,221.59,207.2,221.59
2883.9,202.43,222.17,207.56,222.17
3033.9,202.7,222.72,207.94,222.72
3173.9,202.97,223.23,208.29,223.23
3313.9,203.23,223.74,208.64,223.74
3463.9,203.53,224.29,209.01,224.29
3603.9,203.81,224.8,209.37,224.8
3753.9,204.12,225.3,209.75,225.3
3893.9,204.41,225.76,210.1,225.76
4033.9,204.71,226.22,210.45,226.22
4183.9,205.03,226.72,210.83,226.72
4323.9,205.33,227.18,211.19,227.18
4473.9,205.66,227.64,211.56,227.64
4613.9,205.97,228.07,211.92,228.07
4753.9,206.29,228.49,212.27,228.49
4903.9,206.63,228.95,212.65,228.95
5043.9,206.95,229.37,213.0,229.37
5193.9,207.29,229.8,213.38,229.8
5333.9,207.62,230.19,213.73,230.19
5473.9,207.95,230.59,214.08,230.59
5623.9,208.3,231.01,214.46,231.01
5763.9,208.63,231.41,214.81,231.41
5913.9,208.99,231.81,215.19,231.81
6053.9,209.32,232.18,215.54,232.18
6193.9,209.66,232.55,215.89,232.55
6343.9,210.02,232.95,216.26,232.95
6483.9,210.35,233.33,216.61,233.33
6633.9,210.72,233.71,216.99,233.71
6773.9,211.06,234.06,217.33,234.06
6913.9,211.4,234.41,217.68,234.41
7063.9,211.76,234.79,218.05,234.79
7203.9,212.11,235.15,218.4,235.15
7353.9,212.47,235.51,218.77,235.51
7493.9,212.82,235.84,219.11,235.84
7633.9,213.16,236.18,219.46,236.18
7783.9,213.53,236.53,219.83,236.53
7923.9,213.87,236.87,220.17,236.87
8073.9,214.24,237.21,220.54,237.21
8213.9,214.58,237.53,220.88,237.53
8353.9,214.93,237.86,221.22,237.86
8503.9,215.3,238.2,221.58,238.2
8643.9,215.64,238.52,221.92,238.52
8793.9,216.01,238.85,222.28,238.85
8933.9,216.35,239.16,222.61,239.16
9073.9,216.7,239.47,222.95,239.47
9223.9,217.06,239.79,223.31,239.79
9363.9,217.41,240.1,223.64,240.1
9513.9,217.77,240.42,224.0,240.42
9653.9,218.11,240.72,224.33,240.72
9793.9,218.46,241.01,224.66,241.01
9943.9,218.82,241.33,225.01,241.33
10084.0,219.16,241.62,225.34,241.62
10234.0,219.53,241.93,225.69,241.93
10374.0,219.87,242.22,226.02,242.22
10514.0,220.2,242.5,226.34,242.5
10664.0,220.57,242.81,226.69,242.81
10804.0,220.9,243.1,227.01,243.1
10954.0,221.26,243.39,227.36,243.39
11094.0,221.6,243.67,227.68,243.67
11234.0,221.94,243.95,228.0,243.95
11384.0,222.29,244.24,228.34,244.24
11524.0,222.63,244.52,228.66,244.52
11674.0,222.98,244.81,229.0,244.81
11814.0,223.32,245.08,229.32,245.08
11954.0,223.64,245.35,229.62,245.35
12104.0,223.98,245.64,229.94,245.64
12244.0,224.3,245.91,230.24,245.91
12394.0,224.64,246.19,230.57,246.19
12534.0,224.96,246.44,230.86,246.44
12674.0,225.28,246.7,231.16,246.7
12824.0,225.61,246.98,231.48,246.98
12964.0,225.93,247.24,231.78,247.24
13114.0,226.26,247.51,232.1,247.51
13254.0,226.57,247.76,232.39,247.76
13394.0,226.88,248.02,232.69,248.02
13544.0,227.21,248.29,233.0,248.29
13684.0,227.52,248.54,233.3,248.54
13834.0,227.85,248.81,233.61,248.81
13974.0,228.16,249.06,233.9,249.06
14114.0,228.47,249.3,234.19,249.3
14264.0,228.79,249.57,234.5,249.57
14400.0,229.09,249.81,234.78,249.81
