Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
153.97,100.0,105.49,100.53,105.49
293.97,100.0,110.59,101.32,110.59
433.97,100.0,115.7,102.28,115.7
583.97,100.02,121.19,103.48,121.19
723.97,100.07,126.32,104.71,126.32
873.97,100.17,131.82,106.15,131.82
1014.0,100.33,136.95,107.59,136.95
1154.0,100.55,142.09,109.12,142.09
1304.0,100.87,147.6,110.81,147.6
1444.0,101.25,152.74,112.47,152.74
1594.0,101.75,158.24,114.32,158.24
1734.0,102.3,163.38,116.13,163.38
1874.0,102.93,168.52,118.01,168.52
2024.0,103.69,174.04,120.1,174.04
2164.0,104.49,179.18,122.12,179.18
2314.0,105.43,184.69,124.35,184.69
2454.0,106.4,189.86,126.48,189.86
2594.0,107.43,195.0,128.6,195.0
2744.0,108.62,200.51,130.95,200.51
2884.0,109.8,205.66,133.21,205.66
3034.0,111.15,211.18,135.7,211.18
3174.0,112.47,216.33,138.08,216.33
3314.0,113.87,221.48,140.52,221.48
3464.0,115.44,227.0,143.19,227.0
3604.0,116.97,232.15,145.73,232.15
3754.0,118.67,237.7,148.44,237.7
3894.0,120.3,242.85,150.98,242.85
4034.0,121.99,248.0,153.59,248.0
4184.0,123.86,253.52,156.44,253.52
4324.0,125.67,258.67,159.15,258.67
4474.0,127.66,264.19,162.11,264.19
4614.0,129.58,269.35,164.92,269.35
4754.0,131.56,274.51,167.78,274.51
4904.0,133.73,280.07,170.86,280.07
5044.0,135.76,285.22,173.67,285.22
5194.0,137.99,290.75,176.74,290.75
5334.0,140.12,295.9,179.66,295.9
5474.0,142.29,301.06,182.63,301.06
5624.0,144.67,306.59,185.85,306.59
5764.0,146.94,311.75,188.9,311.75
5914.0,149.42,317.27,192.22,317.27
6054.0,151.79,322.43,195.35,322.43
6194.0,154.15,327.64,198.41,327.64
6344.0,156.69,333.16,201.7,333.16
6484.0,159.1,338.32,204.81,338.32
6634.0,161.73,343.85,208.19,343.85
6774.0,164.22,349.01,211.39,349.01
6914.0,166.75,354.17,214.62,354.17
7064.0,169.51,359.71,218.13,359.71
7204.0,172.12,364.87,221.43,364.87
7354.0,174.94,370.46,224.97,370.46
7494.0,177.53,375.61,228.18,375.61
7634.0,180.16,380.77,231.44,380.77
7784.0,183.01,386.3,234.97,386.3
7924.0,185.7,391.47,238.31,391.47
8074.0,188.63,397.0,241.92,397.0
8214.0,191.39,402.16,245.32,402.16
8354.0,194.19,407.33,248.75,407.33
8504.0,197.23,412.86,252.46,412.86
8644.0,200.01,418.08,255.83,418.08
8794.0,203.0,423.61,259.45,423.61
8934.0,205.82,428.78,262.86,428.78
9074.0,208.68,433.94,266.3,433.94
9224.0,211.76,439.48,270.02,439.48
9364.0,214.68,444.64,273.53,444.64
9514.0,217.83,450.18,277.32,450.18
9654.0,220.81,455.34,280.88,455.34
9794.0,223.79,460.54,284.46,460.54
9944.0,226.94,466.09,288.24,466.09
10084.0,229.91,471.25,291.79,471.25
10234.0,233.12,476.79,295.61,476.79
10374.0,236.15,481.96,299.2,481.96
10514.0,239.2,487.13,302.81,487.13
10664.0,242.5,492.66,306.72,492.66
10804.0,245.6,497.71,310.38,497.71
10954.0,248.97,497.88,313.89,497.88
11094.0,252.13,497.94,316.93,497.94
11234.0,255.33,497.99,319.84,497.99
11384.0,258.78,498.03,322.84,498.03
11524.0,262.02,498.07,325.56,498.07
11674.0,265.34,498.13,328.4,498.13
11814.0,268.43,498.17,330.93,498.17
11954.0,271.51,498.2,333.39,498.2
12104.0,274.79,498.24,335.96,498.24
12244.0,277.84,498.26,338.31,498.26
12394.0,281.08,498.29,340.78,498.29
12534.0,284.07,498.32,343.04,498.32
12674.0,287.04,498.34,345.26,498.34
12824.0,290.19,498.37,347.61,498.37
12964.0,293.1,498.39,349.76,498.39
13114.0,296.17,498.42,352.03,498.42
13254.0,299.01,498.44,354.11,498.44
13394.0,301.81,498.46,356.16,498.46
13544.0,304.77,498.49,358.33,498.49
13684.0,307.48,498.51,360.32,498.51
13834.0,310.21,498.54,362.42,498.54
13974.0,312.72,498.56,364.33,498.56
14114.0,315.21,498.58,366.2,498.58
14264.0,317.84,498.61,368.17,498.61
14400.0,320.2,498.63,369.93,498.63
