Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,100.0,100.0,100.0,100.0
600,100.08,165.35,112.97,166.66666666666666
1200,101.88,231.35,132.32,233.33333333333331
1800,107.44,297.5,155.13,300.0
2400,116.97,363.68,180.81,366.66666666666663
3000,129.96,429.99,208.62,433.3333333333333
3600,145.82,496.27,238.37,500.0
4200,164.33,497.15,258.94,500.0
4800,183.87,497.42,275.2,500.0
5400,203.44,497.6,289.86,500.0
6000,221.24,497.79,303.15,500.0
6600,238.0,497.93,315.27,500.0
7200,253.89,498.06,326.59,500.0
7800,268.13,498.2,337.02,500.0
8400,281.68,498.31,346.68,500.0
9000,294.51,498.41,355.75,500.0
9600,306.25,498.52,364.24,500.0
10200,317.15,498.61,372.07,500.0
10800,327.53,498.69,379.4,500.0
11400,337.35,498.76,386.3,500.0
12000,346.58,498.84,392.8,500.0
12600,354.9,498.91,398.85,500.0
13200,362.86,498.97,404.49,500.0
13800,370.44,499.03,409.8,500.0
14400,377.61,499.08,414.81,500.0
