Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,120.0,120.0,120.0,120.0
600,120.0,124.17,120.96,124.16666666666669
1200,120.11,128.33,122.33,128.33333333333334
1800,120.45,132.5,123.95,132.5
2400,121.08,136.67,125.78,136.66666666666666
3000,121.97,140.83,127.8,140.83333333333334
3600,123.13,145.0,129.99,145.0
4200,124.51,149.17,132.33,149.16666666666666
4800,126.12,153.33,134.81,153.33333333333331
5400,127.93,157.5,137.43,157.5
6000,129.92,161.67,140.17,161.66666666666666
6600,132.08,165.83,143.01,165.83333333333331
7200,134.34,170.0,145.88,170.0
7800,136.73,174.17,148.86,174.16666666666666
8400,139.24,178.33,151.93,178.33333333333331
9000,141.87,182.5,155.09,182.5
9600,144.62,186.67,158.32,186.66666666666663
10200,147.48,190.83,161.63,190.83333333333331
10800,150.44,195.0,165.0,195.0
11400,153.49,199.17,168.43,199.16666666666663
12000,156.63,203.33,171.92,203.33333333333331
12600,159.84,207.5,175.46,207.5
13200,163.08,211.67,179.0,211.66666666666663
13800,166.25,215.83,182.47,215.83333333333331
14400,169.47,220.0,186.0,220.0
