Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,250.0,250.0,250.0,250.0
600,250.01,266.34,252.65,266.6666666666667
1200,250.23,282.84,256.9,283.3333333333333
1800,251.13,299.38,262.08,300.0
2400,252.9,299.57,265.38,300.0
3000,255.33,299.62,267.84,300.0
3600,257.98,299.65,269.97,300.0
4200,260.6,299.67,271.92,300.0
4800,263.09,299.69,273.72,300.0
5400,265.44,299.71,275.4,300.0
6000,267.65,299.73,276.98,300.0
6600,269.71,299.75,278.45,300.0
7200,271.65,299.77,279.83,300.0
7800,273.45,283.44,278.5,283.3333333333333
8400,274.93,266.95,275.51,266.6666666666667
9000,275.65,250.44,271.48,250.0
9600,275.42,250.25,269.18,250.0
10200,274.41,250.22,267.7,250.0
10800,273.09,250.2,266.5,250.0
11400,271.7,250.18,265.42,250.0
12000,270.35,250.17,264.43,250.0
12600,269.07,250.16,263.51,250.0
13200,267.86,250.15,262.66,250.0
13800,266.73,250.14,261.85,250.0
14400,265.67,250.13,261.1,250.0
