Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,299.6527744,299.6527744,299.6527744,299.6527744
600,299.65,301.43,300.03,301.468096
1200,299.67,305.11,300.98,305.207525
1800,299.77,312.48,302.98,312.6889411
2400,300.06,326.41,306.91,326.8197485
3000,300.74,350.1,313.86,350.8238726
3600,302.12,383.97,324.51,385.0871489
4200,304.61,422.12,337.92,423.5567722
4800,308.6,455.08,351.91,456.6638633
5400,314.25,477.65,364.67,479.237889
6000,321.28,490.8,375.45,492.2957948
6600,329.33,497.73,384.51,499.1412905
7200,337.93,501.23,392.33,502.5454545
7800,346.68,498.0,398.23,499.1412905
8400,355.27,491.34,402.56,492.2957948
9000,363.04,478.54,404.7,479.237889
9600,370.16,456.32,403.59,456.6638633
10200,376.34,423.66,398.55,423.5567722
10800,381.24,385.59,390.17,385.0871489
11400,384.48,351.56,380.53,350.8238726
12000,385.79,327.63,371.67,326.8197485
12600,385.22,313.47,364.54,312.6889411
13200,383.14,305.95,358.84,305.207525
13800,380.01,302.16,354.3,301.468096
14400,376.3,300.29,350.52,299.6527744
