Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,150.0,150.0,150.0,150.0
600,150.01,159.96,151.74,160.09
1200,150.26,164.12,153.34,164.26666666666668
1800,150.89,167.43,154.91,167.585
2400,151.81,170.2,156.47,170.36
3000,152.91,172.64,158.03,172.8
3600,154.16,174.83,159.6,175.0
4200,155.49,176.82,161.16,176.99166666666665
4800,156.9,178.68,162.73,178.85
5400,158.35,180.43,164.3,180.6
6000,159.84,182.09,165.86,182.26
6600,161.35,183.67,167.4,183.84333333333333
7200,162.87,185.19,168.94,185.36
7800,164.4,186.62,170.46,186.79333333333335
8400,165.93,188.01,171.96,188.18
9000,167.45,189.35,173.44,189.52
9600,168.97,190.65,174.91,190.81666666666663
10200,170.47,191.91,176.35,192.075
10800,171.96,193.14,177.77,193.3
11400,173.43,194.32,179.17,194.48333333333332
12000,174.87,195.49,180.52,195.64
12600,176.24,196.61,181.82,196.765
13200,177.58,197.71,183.09,197.86333333333337
13800,178.91,198.79,184.36,198.94166666666663
14400,180.23,199.85,185.6,200.0
