Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.02,232.68,206.19,233.33333333333331
1200,200.57,265.69,215.43,266.66666666666663
1800,202.61,298.76,226.48,300.0
2400,206.47,331.83,239.0,333.3333333333333
3000,212.09,364.95,252.68,366.66666666666663
3600,219.34,398.1,267.47,400.0
4200,228.08,398.53,277.51,400.0
4800,237.86,398.66,285.69,400.0
5400,247.76,398.76,293.08,400.0
6000,257.29,398.84,299.91,400.0
6600,265.87,398.94,306.04,400.0
7200,273.95,399.01,311.74,400.0
7800,281.56,399.07,317.09,400.0
8400,288.72,399.12,322.11,400.0
9000,295.46,399.18,326.82,400.0
9600,301.78,399.23,331.25,400.0
10200,307.5,399.28,335.36,400.0
10800,312.85,399.33,339.15,400.0
11400,317.92,399.37,342.71,400.0
12000,322.7,399.4,346.06,400.0
12600,327.21,399.44,349.21,400.0
13200,331.46,399.47,352.17,400.0
13800,335.46,399.5,354.97,400.0
14400,339.23,399.53,357.6,400.0
