Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.0,206.67,201.51,206.66666666666663
1200,200.12,213.33,203.63,213.33333333333337
1800,200.54,220.0,206.13,220.0
2400,201.35,226.67,208.94,226.66666666666663
3000,202.55,233.33,212.03,233.33333333333337
3600,204.12,240.0,215.36,240.0
4200,206.04,246.67,218.91,246.66666666666669
4800,208.27,253.33,222.61,253.33333333333337
5400,210.77,260.0,226.53,260.0
6000,213.55,266.67,230.65,266.6666666666667
6600,216.59,273.33,234.94,273.33333333333337
7200,219.88,280.0,239.39,280.0
7800,223.4,286.67,243.99,286.6666666666667
8400,227.09,293.33,248.66,293.33333333333337
9000,230.9,300.0,253.4,300.0
9600,234.87,306.67,258.28,306.6666666666667
10200,239.02,313.33,263.28,313.33333333333337
10800,243.32,320.0,268.4,320.0
11400,247.78,326.67,273.61,326.6666666666667
12000,252.38,333.33,278.92,333.33333333333337
12600,257.02,340.0,284.2,340.0
13200,261.69,346.67,289.51,346.6666666666667
13800,266.47,353.33,294.92,353.33333333333337
14400,271.36,360.0,300.41,360.0
