Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,200.0,200.0,200.0,200.0
600,200.0,205.88,200.98,206.0
1200,200.1,211.82,202.54,212.0
1800,200.48,217.77,204.47,218.0
2400,201.19,217.84,205.72,218.0
3000,202.15,217.86,206.64,218.0
3600,203.18,217.87,207.45,218.0
4200,204.19,217.88,208.19,218.0
4800,205.13,217.89,208.86,218.0
5400,206.02,217.9,209.49,218.0
6000,206.84,217.9,210.08,218.0
6600,207.61,217.91,210.63,218.0
7200,208.33,217.92,211.13,218.0
7800,208.99,212.04,210.63,212.0
8400,209.51,206.11,209.51,206.0
9000,209.71,200.16,207.99,200.0
9600,209.54,200.1,207.12,200.0
10200,209.08,200.08,206.55,200.0
10800,208.51,200.08,206.08,200.0
11400,207.95,200.07,205.65,200.0
12000,207.4,200.06,205.26,200.0
12600,206.9,200.06,204.89,200.0
13200,206.42,200.06,204.56,200.0
13800,205.98,200.05,204.24,200.0
14400,205.57,200.05,203.95,200.0
