Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,200.1290998,200.1290998,200.1290998,200.1290998
600,200.0,201.38,200.31,201.3756491
1200,200.02,203.96,201.0,203.9648081
1800,200.13,209.23,202.48,209.232924
2400,200.41,219.51,205.46,219.5160778
3000,201.04,238.04,211.02,238.0548276
3600,202.33,267.12,220.14,267.1395013
4200,204.72,304.09,232.87,304.1175304
4800,208.69,340.32,247.43,340.3524484
5400,214.49,367.82,261.41,367.8453348
6000,221.99,384.9,273.57,384.9273637
6600,230.62,394.23,283.69,394.2586115
7200,239.89,398.97,292.4,399.0
7800,249.34,394.24,298.53,394.2586115
8400,258.55,384.91,302.57,384.9273637
9000,266.96,367.84,303.81,367.8453348
9600,274.15,340.35,301.15,340.3524484
10200,280.02,304.13,294.45,304.1175304
10800,284.15,267.16,285.11,267.1395013
11400,286.15,238.07,275.54,238.0548276
12000,285.94,219.54,267.24,219.5160778
12600,283.86,209.25,260.67,209.232924
13200,280.5,203.98,255.47,203.9648081
13800,276.46,201.4,251.19,201.3756491
14400,272.14,200.15,247.52,200.1290998
