Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,250.0,250.0,250.0,250.0
600,250.01,259.96,251.63,260.09000000000003
1200,250.17,264.13,253.13,264.26666666666665
1800,250.64,267.44,254.61,267.58500000000004
2400,251.38,270.21,256.06,270.36
3000,252.31,272.64,257.51,272.8
3600,253.37,274.83,258.96,275.0
4200,254.54,276.82,260.41,276.9916666666667
4800,255.78,278.68,261.87,278.84999999999997
5400,257.08,280.43,263.33,280.6
6000,258.42,282.09,264.78,282.26
6600,259.79,283.67,266.23,283.84333333333336
7200,261.18,285.19,267.68,285.36
7800,262.59,286.62,269.11,286.7933333333333
8400,264.0,288.01,270.54,288.18
9000,265.42,289.35,271.95,289.52
9600,266.84,290.65,273.34,290.81666666666666
10200,268.26,291.91,274.73,292.075
10800,269.67,293.13,276.09,293.3
11400,271.07,294.32,277.44,294.48333333333335
12000,272.45,295.48,278.76,295.64000000000004
12600,273.79,296.61,280.03,296.765
13200,275.11,297.71,281.29,297.86333333333334
13800,276.42,298.79,282.54,298.94166666666666
14400,277.71,299.85,283.77,300.0
