Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
145.45454545454547,100.0,102.42786375149822,100.23617351668271,102.42786375149822
290.90909090909093,100.0,104.9077459090909,100.61191045454545,104.9077459090909
436.3636363636364,100.00015957575758,107.40101096969697,101.07893624242423,107.40101096969697
581.8181818181819,100.00985654545455,109.89313218181819,101.62196654545454,109.89313218181819
727.2727272727274,100.03110090909091,112.39658672727273,102.22475218181818,112.39658672727273
872.7272727272727,100.07958575757576,114.88870793939394,102.87444915151515,114.88870793939394
1018.1818181818182,100.15328571428572,117.391987012987,103.58120779220779,117.391987012987
1163.6363636363637,100.26963636363637,119.89574545454546,104.32203636363636,119.89574545454546
1309.0909090909092,100.41654545454546,122.39763636363637,105.10909090909091,122.39763636363637
1454.5454545454547,100.6061696969697,124.90138181818182,105.94186666666667,124.90138181818182
1600.0000000000002,100.83114285714285,127.40328571428572,106.79685714285715,127.40328571428572
1745.4545454545455,101.10454545454546,129.90718181818184,107.69363636363637,129.90718181818184
1890.909090909091,101.42058181818182,132.41083636363638,108.63159999999999,132.41083636363638
2036.3636363636365,101.77444155844155,134.91283116883116,109.59477922077923,134.91283116883116
2181.818181818182,102.18345454545454,137.41766060606062,110.59472727272727,137.41766060606062
2327.2727272727275,102.62361038961039,139.9284805194805,111.6167012987013,139.9284805194805
2472.727272727273,103.10688311688313,142.43237662337665,112.68045454545455,142.43237662337665
2618.1818181818185,103.63189090909091,144.9375393939394,113.76894545454546,144.9375393939394
2763.636363636364,104.18994805194805,147.4494285714286,114.85007792207793,147.4494285714286
2909.0909090909095,104.78872727272729,149.96156363636365,115.96738181818182,149.96156363636365
3054.545454545455,105.42392207792207,152.46514285714287,117.11583116883118,152.46514285714287
3200.0000000000005,106.09442857142858,154.97757142857142,118.29542857142857,154.97757142857142
3345.454545454546,106.7993696969697,157.48311515151516,119.50631515151515,157.48311515151516
3490.909090909091,107.54223376623378,159.9932207792208,120.74257142857144,159.9932207792208
3636.3636363636365,108.31692121212122,162.49881212121213,122.0048,162.49881212121213
3781.818181818182,109.12094805194805,165.00887012987013,123.29036363636364,165.00887012987013
3927.2727272727275,109.96725974025973,167.51514285714285,124.60420779220779,167.51514285714285
4072.727272727273,110.8401090909091,170.02869090909093,125.94145454545455,170.02869090909093
4218.181818181819,111.7472987012987,172.54085714285713,127.30472727272728,172.54085714285713
4363.636363636364,112.68424242424243,175.05438787878788,128.6905090909091,175.05438787878788
4509.09090909091,113.65811688311689,177.56406493506495,130.0933896103896,177.56406493506495
4654.545454545455,114.65381818181818,180.07085714285716,131.52255844155846,180.07085714285716
4800.0,115.68426666666666,182.58426666666665,132.97306666666665,182.58426666666665
4945.454545454546,116.74794805194806,185.09657142857145,134.44342857142857,185.09657142857145
5090.909090909091,117.83650909090909,187.60996363636363,135.93785454545454,187.60996363636363
5236.363636363637,118.94377922077923,190.12531168831168,137.43666233766234,190.12531168831168
5381.818181818182,120.0622987012987,192.64657142857143,138.90842857142857,192.64657142857143
5527.272727272728,121.2026303030303,195.15984242424244,140.40048484848487,195.15984242424244
5672.727272727273,122.3632987012987,197.67228571428572,141.9151168831169,197.67228571428572
5818.181818181819,123.5442909090909,200.18553939393942,143.4579393939394,200.18553939393942
5963.636363636364,124.74836363636364,202.698,145.01536363636365,202.698
6109.09090909091,125.97827272727274,205.2122857142857,146.59206493506494,205.2122857142857
6254.545454545455,127.22472727272728,207.72541818181818,148.19407272727273,207.72541818181818
6400.000000000001,128.496,210.23800000000003,149.81400000000002,210.23800000000003
6545.454545454546,129.79309090909092,212.75111515151517,151.44648484848486,212.75111515151517
6690.909090909092,131.1103116883117,215.2637142857143,153.1003896103896,215.2637142857143
6836.363636363637,132.4490909090909,217.77800000000002,154.77163636363636,217.77800000000002
6981.818181818182,133.81201212121212,220.29099393939396,156.4612121212121,220.29099393939396
7127.272727272728,135.1956103896104,222.80823376623377,158.1611948051948,222.80823376623377
7272.727272727273,136.6035272727273,225.3266909090909,159.87556363636364,225.3266909090909
7418.181818181819,138.03264935064936,227.83942857142858,161.61018181818184,227.83942857142858
7563.636363636364,139.48133766233767,230.3537142857143,163.3606103896104,230.3537142857143
7709.09090909091,140.95092121212122,232.87157575757576,165.1261090909091,232.87157575757576
7854.545454545455,142.41545454545457,235.3995064935065,166.87142857142857,235.3995064935065
8000.000000000001,143.87000000000003,237.92226666666667,168.58173333333335,237.92226666666667
8145.454545454546,145.32964935064936,240.43514285714286,170.30235064935064,240.43514285714286
8290.909090909092,146.80557142857143,242.9494285714286,172.0484025974026,242.9494285714286
8436.363636363638,148.30109090909093,245.4676363636364,173.80934545454548,245.4676363636364
8581.818181818182,149.80597402597402,247.98514285714285,175.58605194805193,247.98514285714285
8727.272727272728,151.3271393939394,250.49784242424244,177.3770303030303,250.49784242424244
8872.727272727274,152.86788311688315,253.01648051948055,179.17846753246755,253.01648051948055
9018.18181818182,154.42194805194808,255.5351428571429,180.99828571428571,255.5351428571429
9163.636363636364,155.9940484848485,258.0477212121212,182.83539393939392,258.0477212121212
9309.09090909091,157.586,260.5669350649351,184.68187012987013,260.5669350649351
9454.545454545456,159.19203636363636,263.0834181818182,186.53898181818184,263.0834181818182
9600.0,160.80828571428572,265.6027142857143,188.40571428571428,265.6027142857143
9745.454545454546,162.4421298701299,268.1208571428571,190.2889090909091,268.1208571428571
9890.909090909092,164.09476363636364,270.63329696969697,192.1862787878788,270.63329696969697
10036.363636363638,165.76218181818183,273.1531688311689,194.0939220779221,273.1531688311689
10181.818181818182,167.44469090909092,275.66899393939394,196.0112,275.66899393939394
10327.272727272728,169.1426233766234,278.18894805194805,197.9391948051948,278.18894805194805
10472.727272727274,170.82536363636365,280.7277272727273,199.8364025974026,280.7277272727273
10618.18181818182,172.4807272727273,283.2558181818182,201.69658181818184,283.2558181818182
10763.636363636364,174.13158441558443,285.7722857142857,203.56103896103897,285.7722857142857
10909.09090909091,175.80204848484848,288.2845696969697,205.43917575757578,288.2845696969697
11054.545454545456,177.47627272727274,290.80518181818184,207.33427272727275,290.80518181818184
11200.000000000002,179.16414285714288,293.3222857142858,209.24314285714289,293.3222857142858
11345.454545454546,180.86773333333335,295.8418787878788,211.1612,295.8418787878788
11490.909090909092,182.58,298.358,213.09036363636363,298.358
11636.363636363638,184.30338181818183,300.8776363636364,215.02818181818185,300.8776363636364
11781.818181818182,186.04381818181818,303.3937142857143,216.97784415584417,303.3937142857143
11927.272727272728,187.78927272727276,305.908,218.93918181818182,305.908
12072.727272727274,189.5505575757576,308.4279393939394,220.91469090909092,308.4279393939394
12218.18181818182,191.32464935064937,310.95187012987014,222.89776623376625,310.95187012987014
12363.636363636364,193.11551515151515,313.4657212121212,224.8850303030303,313.4657212121212
12509.09090909091,194.91219480519482,315.9876493506494,226.88661038961038,315.9876493506494
12654.545454545456,196.7268181818182,318.5037142857143,228.90041558441558,318.5037142857143
12800.000000000002,198.5492,321.024,230.91720000000004,321.024
12945.454545454546,200.38553246753247,323.5481038961039,232.9416883116883,323.5481038961039
13090.909090909092,202.19367272727274,326.0951393939394,234.93442424242426,326.0951393939394
13236.363636363638,203.96584415584417,328.61514285714287,236.8844285714286,328.61514285714287
13381.818181818184,205.7412077922078,331.1294285714286,238.8455454545455,331.1294285714286
13527.272727272728,207.5248121212121,333.6500606060606,240.81362424242425,333.6500606060606
13672.727272727274,209.32070129870132,336.1743376623377,242.7962077922078,336.1743376623377
13818.18181818182,211.12385454545455,338.6868727272727,244.7838181818182,338.6868727272727
13963.636363636364,212.94045454545454,341.2101168831169,246.7871298701299,341.2101168831169
14109.09090909091,214.75863636363636,343.7251428571429,248.80197402597403,343.7251428571429
14254.545454545456,216.59087272727274,346.24612121212124,250.81889696969697,346.24612121212124
14400.0,218.44,348.77,252.85,348.77
