Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,300.0,300.0,300.0,300.0
145.45454545454547,300.0,304.3450283076233,300.36838283477675,304.3450283076233
290.90909090909093,300.0,306.84938506493506,300.8203171428571,306.84938506493506
436.3636363636364,300.0,308.45152096969696,301.22617145454547,308.45152096969696
581.8181818181819,300.0,309.7703088484849,301.6043532727273,309.7703088484849
727.2727272727274,300.01065654545454,311.0612283030303,301.9783162424243,311.0612283030303
872.7272727272727,300.0397474545455,312.00183436363636,302.34680109090914,312.00183436363636
1018.1818181818182,300.0814935064935,312.9268831168831,302.69015584415587,312.9268831168831
1163.6363636363637,300.13449696969695,313.8616727272727,303.04376969696966,313.8616727272727
1309.0909090909092,300.2032727272727,314.79236363636363,303.40272727272725,314.79236363636363
1454.5454545454547,300.2977333333333,315.7020242424242,303.7653090909091,315.7020242424242
1600.0000000000002,300.40514285714283,316.41957142857143,304.1141428571429,316.41957142857143
1745.4545454545455,300.53145454545455,317.13563636363637,304.457,317.13563636363637
1890.909090909091,300.6780363636364,317.84341818181815,304.8005818181818,317.84341818181815
2036.3636363636365,300.83412987012986,318.5600519480519,305.150025974026,318.5600519480519
2181.818181818182,301.0025696969697,319.25483636363634,305.5015757575757,319.25483636363634
2327.2727272727275,301.18706493506494,319.864987012987,305.84128571428573,319.864987012987
2472.727272727273,301.37541558441563,320.4675844155844,306.18414285714283,320.4675844155844
2618.1818181818185,301.57546666666667,321.06995151515156,306.52642424242424,321.06995151515156
2763.636363636364,301.79085714285713,321.67135064935064,306.8676883116883,321.67135064935064
2909.0909090909095,302.01847272727275,322.262,307.21854545454545,322.262
3054.545454545455,302.2437532467532,322.79631168831173,307.5584285714286,322.79631168831173
3200.0000000000005,302.4845714285714,323.3347142857143,307.9012857142857,323.3347142857143
3345.454545454546,302.7345212121212,323.86533333333335,308.24339393939397,323.86533333333335
3490.909090909091,302.98612987012984,324.398025974026,308.58535064935063,324.398025974026
3636.3636363636365,303.2404121212121,324.91572121212124,308.9355151515152,324.91572121212124
3781.818181818182,303.5096753246753,325.3933896103896,309.2755714285714,325.3933896103896
3927.2727272727275,303.7741688311688,325.87932467532465,309.6184285714286,325.87932467532465
4072.727272727273,304.0522909090909,326.3590909090909,309.9629454545455,326.3590909090909
4218.181818181819,304.32836363636363,326.8423116883117,310.31057142857145,326.8423116883117
4363.636363636364,304.6166303030303,327.3115515151515,310.65512727272727,327.3115515151515
4509.09090909091,304.9001818181818,327.7552727272727,311.0027142857143,327.7552727272727
4654.545454545455,305.193987012987,328.19453246753244,311.3455714285714,328.19453246753244
4800.0,305.49199999999996,328.638,311.6904,328.638
4945.454545454546,305.78587012987015,329.0773246753247,312.0377142857143,329.0773246753247
5090.909090909091,306.09007272727274,329.51134545454545,312.3794545454545,329.51134545454545
5236.363636363637,306.39775324675327,329.92103896103896,312.71985714285717,329.92103896103896
5381.818181818182,306.70246753246755,330.33320779220776,313.0661298701299,330.33320779220776
5527.272727272728,307.0136484848485,330.74271515151514,313.414303030303,330.74271515151514
5672.727272727273,307.3244155844156,331.15574025974024,313.75485714285713,331.15574025974024
5818.181818181819,307.6392,331.5544848484849,314.1000363636364,331.5544848484849
5963.636363636364,307.9563636363636,331.9447272727273,314.447,331.9447272727273
6109.09090909091,308.271987012987,332.3355974025974,314.78985714285716,332.3355974025974
6254.545454545455,308.5932,332.72145454545455,315.1353090909091,332.72145454545455
6400.000000000001,308.91400000000004,333.108,315.482,333.108
6545.454545454546,309.23929696969697,333.4856848484848,315.82339393939395,333.4856848484848
6690.909090909092,309.566012987013,333.8522727272727,316.16414285714285,333.8522727272727
6836.363636363637,309.8925454545454,334.22036363636363,316.507,334.22036363636363
6981.818181818182,310.22372121212123,334.5918060606061,316.8482424242424,334.5918060606061
7127.272727272728,310.5501038961039,334.9581818181818,317.1891428571429,334.9581818181818
7272.727272727273,310.87578181818185,335.31494545454547,317.53036363636363,335.31494545454547
7418.181818181819,311.2067012987013,335.6612857142857,317.87128571428576,335.6612857142857
7563.636363636364,311.5391688311688,336.00911688311686,318.21414285714286,336.00911688311686
7709.09090909091,311.87020606060605,336.3602181818182,318.55521212121215,336.3602181818182
7854.545454545455,312.2012467532468,336.70628571428574,318.89628571428574,336.70628571428574
8000.000000000001,312.5373333333333,337.04226666666665,319.23226666666665,337.04226666666665
8145.454545454546,312.8733246753246,337.37842857142857,319.56842857142857,337.37842857142857
8290.909090909092,313.20579220779223,337.7157922077922,319.9057922077922,337.7157922077922
8436.363636363638,313.5421818181818,338.0466909090909,320.2421818181818,338.0466909090909
8581.818181818182,313.87787012987013,338.37787012987013,320.58342857142856,338.37787012987013
8727.272727272728,314.21430303030303,338.7032,320.91875151515154,338.7032
8872.727272727274,314.54994805194804,339.0243246753247,321.249948051948,339.0243246753247
9018.18181818182,314.8824155844156,339.34640259740263,321.58241558441557,339.34640259740263
9163.636363636364,315.2191515151515,339.6612242424243,321.9191515151515,339.6612242424243
9309.09090909091,315.55449350649354,339.9784155844156,322.25449350649353,339.9784155844156
9454.545454545456,315.89127272727274,340.29316363636366,322.5852363636364,340.29316363636366
9600.0,316.22657142857145,340.5981428571429,322.91657142857144,340.5981428571429
9745.454545454546,316.56557142857145,340.905974025974,323.249038961039,340.905974025974
9890.909090909092,316.8996606060606,341.2167393939394,323.5796606060606,341.2167393939394
10036.363636363638,317.2377142857143,341.52132467532465,323.90451948051947,341.52132467532465
10181.818181818182,317.57172121212125,341.82215757575756,324.2317212121212,341.82215757575756
10327.272727272728,317.9098571428571,342.12320779220784,324.5565324675325,342.12320779220784
10472.727272727274,318.24566233766234,342.4174545454546,324.8856623376624,342.4174545454546
10618.18181818182,318.57614545454544,342.7153090909091,325.2092,342.7153090909091
10763.636363636364,318.90774025974025,343.01638961038964,325.53774025974025,343.01638961038964
10909.09090909091,319.24521212121215,343.30317575757573,325.8612,343.30317575757573
11054.545454545456,319.5798181818182,343.5910909090909,326.18263636363633,343.5910909090909
11200.000000000002,319.9122857142857,343.87442857142855,326.5047142857143,343.87442857142855
11345.454545454546,320.2426303030303,344.1629090909091,326.8252,344.1629090909091
11490.909090909092,320.5743636363636,344.4538181818182,327.1467272727273,344.4538181818182
11636.363636363638,320.9121818181818,344.7372363636364,327.4672,344.7372363636364
11781.818181818182,321.23874025974027,345.01023376623374,327.781038961039,345.01023376623374
11927.272727272728,321.5689090909091,345.2965454545455,328.09272727272725,345.2965454545455
12072.727272727274,321.89119999999997,345.5795393939394,328.3953696969697,345.5795393939394
12218.18181818182,322.21283116883114,345.85205194805195,328.7046753246753,345.85205194805195
12363.636363636364,322.5252242424242,346.1233212121212,329.0072484848485,346.1233212121212
12509.09090909091,322.84484415584416,346.39374025974024,329.3084025974026,346.39374025974024
12654.545454545456,323.16692207792204,346.66387012987013,329.6097012987013,346.66387012987013
12800.000000000002,323.4788,346.9352,329.9104,346.9352
12945.454545454546,323.79893506493505,347.2055584415585,330.2115844155844,347.2055584415585
13090.909090909092,324.1107393939394,347.4684363636364,330.5122787878788,347.4684363636364
13236.363636363638,324.42220779220776,347.7285064935065,330.81346753246754,347.7285064935065
13381.818181818184,324.7338961038961,347.98824675324676,331.1147662337662,347.98824675324676
13527.272727272728,325.0532,348.2587757575758,331.4154303030303,348.2587757575758
13672.727272727274,325.3658441558441,348.5198701298701,331.71664935064933,348.5198701298701
13818.18181818182,325.6762545454545,348.77258181818183,332.00836363636364,348.77258181818183
13963.636363636364,325.9877922077922,349.0314935064935,332.3085324675325,349.0314935064935
14109.09090909091,326.2898311688312,349.2912337662338,332.60018181818185,349.2912337662338
14254.545454545456,326.59983030303033,349.5436121212121,332.9004606060606,349.5436121212121
14400.0,326.91,349.8,333.19,349.8
