Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
153.97,100.0,103.09,100.3,103.09
293.97,100.0,105.96,100.74,105.96
433.97,100.0,108.83,101.28,108.83
583.97,100.01,111.92,101.96,111.92
723.97,100.04,114.8,102.65,114.8
873.97,100.1,117.9,103.46,117.9
1014.0,100.18,120.78,104.27,120.78
1154.0,100.31,123.67,105.13,123.67
1304.0,100.49,126.77,106.1,126.77
1444.0,100.7,129.66,107.05,129.66
1594.0,100.99,132.76,108.11,132.76
1734.0,101.3,135.65,109.15,135.65
1874.0,101.66,138.54,110.22,138.54
2024.0,102.09,141.64,111.41,141.64
2164.0,102.55,144.54,112.56,144.54
2314.0,103.09,147.64,113.79,147.64
2454.0,103.64,150.54,114.98,150.54
2594.0,104.23,153.43,116.21,153.43
2744.0,104.92,156.53,117.56,156.53
2884.0,105.6,159.43,118.86,159.43
3034.0,106.37,162.53,120.29,162.53
3174.0,107.13,165.43,121.65,165.43
3314.0,107.94,168.33,123.05,168.33
3464.0,108.84,171.43,124.57,171.43
3604.0,109.73,174.33,126.03,174.33
3754.0,110.72,177.43,127.62,177.43
3894.0,111.68,180.33,129.13,180.33
4034.0,112.69,183.23,130.67,183.23
4184.0,113.8,186.34,132.35,186.34
4324.0,114.88,189.24,133.94,189.24
4474.0,116.05,192.36,135.61,192.36
4614.0,117.17,195.26,137.2,195.26
4754.0,118.32,198.16,138.81,198.16
4904.0,119.58,201.27,140.57,201.27
5044.0,120.79,204.17,142.24,204.17
5194.0,122.11,207.28,144.06,207.28
5334.0,123.38,210.18,145.78,210.18
5474.0,124.68,213.08,147.52,213.08
5624.0,126.1,216.19,149.41,216.19
5764.0,127.45,219.09,151.2,219.09
5914.0,128.94,222.2,153.14,222.2
6054.0,130.35,225.1,154.97,225.1
6194.0,131.79,228.01,156.82,228.01
6344.0,133.37,231.12,158.83,231.12
6484.0,134.86,234.02,160.72,234.02
6634.0,136.45,237.16,162.69,237.16
6774.0,137.94,240.06,164.53,240.06
6914.0,139.45,242.96,166.4,242.96
7064.0,141.09,246.07,168.43,246.07
7204.0,142.65,248.98,170.34,248.98
7354.0,144.34,252.09,172.42,252.09
7494.0,145.93,254.99,174.37,254.99
7634.0,147.55,257.9,176.34,257.9
7784.0,149.31,261.01,178.47,261.01
7924.0,150.97,263.92,180.48,263.92
8074.0,152.78,267.03,182.65,267.03
8214.0,154.48,269.94,184.69,269.94
8354.0,156.21,272.84,186.75,272.84
8504.0,158.09,275.96,188.97,275.96
8644.0,159.86,278.86,191.06,278.86
8794.0,161.71,282.01,193.22,282.01
8934.0,163.44,284.91,195.24,284.91
9074.0,165.19,287.82,197.27,287.82
9224.0,167.08,290.93,199.48,290.93
9364.0,168.85,293.84,201.55,293.84
9514.0,170.77,296.95,203.79,296.95
9654.0,172.58,299.86,205.9,299.86
9794.0,174.41,302.76,208.02,302.76
9944.0,176.39,305.88,210.3,305.88
10084.0,178.25,308.79,212.45,308.79
10234.0,180.26,311.9,214.77,311.9
10374.0,182.16,314.81,216.95,314.81
10514.0,184.07,317.72,219.14,317.72
10664.0,186.14,320.83,221.49,320.83
10804.0,188.08,323.74,223.71,323.74
10954.0,190.12,326.89,226.01,326.89
11094.0,192.0,329.8,228.14,329.8
11234.0,193.89,332.71,230.29,332.71
11384.0,195.94,335.82,232.61,335.82
11524.0,197.86,338.73,234.79,338.73
11674.0,199.93,341.84,237.14,341.84
11814.0,201.88,344.75,239.34,344.75
11954.0,203.84,347.66,241.56,347.66
12104.0,205.96,350.78,243.95,350.78
12244.0,207.95,353.69,246.19,353.69
12394.0,210.1,356.8,248.61,356.8
12534.0,212.12,359.71,250.87,359.71
12674.0,214.15,362.62,253.15,362.62
12824.0,216.34,365.74,255.6,365.74
12964.0,218.4,368.65,257.89,368.65
13114.0,220.57,371.81,260.29,371.81
13254.0,222.57,374.71,262.51,374.71
13394.0,224.58,377.62,264.74,377.62
13544.0,226.75,380.74,267.14,380.74
13684.0,228.79,383.65,269.4,383.65
13834.0,230.98,386.76,271.83,386.76
13974.0,233.03,389.67,274.12,389.67
14114.0,235.1,392.58,276.41,392.58
14264.0,237.33,395.7,278.88,395.7
14400.0,239.36,398.53,281.12,398.53
