Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,300.0,300.0,300.0,300.0
153.99,300.0,304.6,300.39,304.6
293.99,300.0,306.9,300.83,306.9
433.99,300.0,308.43,301.22,308.43
583.99,300.0,309.79,301.61,309.79
723.99,300.01,311.04,301.97,311.04
873.99,300.04,312.01,302.35,312.01
1014.0,300.08,312.9,302.68,312.9
1154.0,300.13,313.8,303.02,313.8
1304.0,300.2,314.76,303.39,314.76
1444.0,300.29,315.65,303.74,315.65
1594.0,300.4,316.39,304.1,316.39
1734.0,300.52,317.08,304.43,317.08
1874.0,300.66,317.76,304.76,317.76
2024.0,300.82,318.5,305.12,318.5
2164.0,300.98,319.18,305.46,319.18
2314.0,301.17,319.81,305.81,319.81
2454.0,301.35,320.39,306.14,320.39
2594.0,301.54,320.97,306.47,320.97
2744.0,301.76,321.59,306.82,321.59
2884.0,301.98,322.17,307.16,322.17
3034.0,302.21,322.72,307.51,322.72
3174.0,302.44,323.24,307.84,323.24
3314.0,302.68,323.75,308.17,323.75
3464.0,302.94,324.3,308.52,324.3
3604.0,303.18,324.81,308.86,324.81
3754.0,303.46,325.3,309.21,325.3
3894.0,303.71,325.77,309.54,325.77
4034.0,303.98,326.23,309.87,326.23
4184.0,304.26,326.73,310.23,326.73
4324.0,304.54,327.19,310.56,327.19
4474.0,304.83,327.65,310.92,327.65
4614.0,305.11,328.07,311.25,328.07
4754.0,305.4,328.5,311.58,328.5
4904.0,305.7,328.95,311.94,328.95
5044.0,305.99,329.38,312.27,329.38
5194.0,306.31,329.8,312.62,329.8
5334.0,306.6,330.2,312.95,330.2
5474.0,306.9,330.59,313.29,330.59
5624.0,307.22,331.02,313.64,331.02
5764.0,307.52,331.41,313.97,331.41
5914.0,307.85,331.81,314.33,331.81
6054.0,308.15,332.19,314.66,332.19
6194.0,308.46,332.56,314.99,332.56
6344.0,308.79,332.96,315.35,332.96
6484.0,309.1,333.33,315.68,333.33
6634.0,309.44,333.71,316.03,333.71
6774.0,309.75,334.06,316.36,334.06
6914.0,310.07,334.42,316.69,334.42
7064.0,310.41,334.8,317.04,334.8
7204.0,310.72,335.15,317.37,335.15
7354.0,311.06,335.51,317.72,335.51
7494.0,311.38,335.84,318.05,335.84
7634.0,311.7,336.18,318.38,336.18
7784.0,312.04,336.54,318.73,336.54
7924.0,312.36,336.87,319.06,336.87
8074.0,312.71,337.21,319.4,337.21
8214.0,313.03,337.54,319.73,337.54
8354.0,313.35,337.86,320.05,337.86
8504.0,313.7,338.2,320.4,338.2
8644.0,314.02,338.52,320.73,338.52
8794.0,314.37,338.85,321.07,338.85
8934.0,314.69,339.16,321.39,339.16
9074.0,315.01,339.47,321.71,339.47
9224.0,315.36,339.79,322.06,339.79
9364.0,315.68,340.1,322.38,340.1
9514.0,316.03,340.42,322.72,340.42
9654.0,316.35,340.71,323.04,340.71
9794.0,316.68,341.01,323.36,341.01
9944.0,317.02,341.33,323.7,341.33
10084.0,317.35,341.62,324.01,341.62
10234.0,317.69,341.93,324.35,341.93
10374.0,318.02,342.22,324.66,342.22
10514.0,318.34,342.5,324.98,342.5
10664.0,318.68,342.81,325.31,342.81
10804.0,319.0,343.1,325.63,343.1
10954.0,319.35,343.39,325.96,343.39
11094.0,319.67,343.67,326.27,343.67
11234.0,319.99,343.94,326.58,343.94
11384.0,320.33,344.24,326.91,344.24
11524.0,320.65,344.52,327.22,344.52
11674.0,321.0,344.81,327.55,344.81
11814.0,321.31,345.07,327.85,345.07
11954.0,321.63,345.35,328.15,345.35
12104.0,321.96,345.64,328.46,345.64
12244.0,322.27,345.9,328.76,345.9
12394.0,322.59,346.18,329.07,346.18
12534.0,322.9,346.44,329.36,346.44
12674.0,323.21,346.7,329.65,346.7
12824.0,323.53,346.98,329.96,346.98
12964.0,323.84,347.24,330.25,347.24
13114.0,324.16,347.51,330.56,347.51
13254.0,324.46,347.76,330.85,347.76
13394.0,324.76,348.01,331.14,348.01
13544.0,325.09,348.29,331.45,348.29
13684.0,325.39,348.54,331.74,348.54
13834.0,325.71,348.8,332.04,348.8
13974.0,326.01,349.05,332.33,349.05
14114.0,326.3,349.3,332.61,349.3
14264.0,326.62,349.56,332.92,349.56
14400.0,326.91,349.8,333.19,349.8
