Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
153.97,100.0,108.23,100.79,108.23
293.97,100.0,115.88,101.97,115.88
433.97,100.01,123.56,103.42,123.56
583.97,100.03,131.79,105.21,131.79
723.97,100.11,139.48,107.07,139.48
873.97,100.26,147.73,109.2,147.73
1014.0,100.49,155.43,111.31,155.43
1154.0,100.82,163.13,113.57,163.13
1304.0,101.3,171.39,116.12,171.39
1444.0,101.86,179.1,118.63,179.1
1594.0,102.6,187.36,121.43,187.36
1734.0,103.42,195.09,124.08,195.09
1874.0,104.35,202.8,126.83,202.8
2024.0,105.48,211.06,129.89,211.06
2164.0,106.66,218.78,132.86,218.78
2314.0,108.05,227.05,136.15,227.05
2454.0,109.46,234.8,139.29,234.8
2594.0,110.97,242.51,142.42,242.51
2744.0,112.7,250.78,145.89,250.78
2884.0,114.43,258.5,149.23,258.5
3034.0,116.39,266.78,152.9,266.78
3174.0,118.32,274.5,156.42,274.5
3314.0,120.34,282.27,159.94,282.27
3464.0,122.58,290.54,163.74,290.54
3604.0,124.77,298.08,167.37,298.08
3754.0,127.21,298.31,170.65,298.31
3894.0,129.58,298.39,173.38,298.39
4034.0,132.04,298.44,175.92,298.44
4184.0,134.75,298.49,178.51,298.49
4324.0,137.33,298.53,180.82,298.53
4474.0,140.15,298.56,183.2,298.56
4614.0,142.79,298.6,185.36,298.6
4754.0,145.43,298.62,187.45,298.62
4904.0,148.25,298.65,189.64,298.65
5044.0,150.86,298.68,191.63,298.68
5194.0,153.63,298.71,193.72,298.71
5334.0,156.19,298.73,195.62,298.73
5474.0,158.71,298.76,197.49,298.76
5624.0,161.36,298.78,199.45,298.78
5764.0,163.66,298.83,201.16,298.83
5914.0,166.05,298.85,202.93,298.85
6054.0,168.24,298.87,204.55,298.87
6194.0,170.41,298.89,206.13,298.89
6344.0,172.69,298.91,207.8,298.91
6484.0,174.78,298.93,209.33,298.93
6634.0,176.99,298.95,210.94,298.95
6774.0,179.02,298.97,212.41,298.97
6914.0,181.01,298.98,213.86,298.98
7064.0,183.11,299.0,215.39,299.0
7204.0,185.04,299.02,216.79,299.02
7354.0,187.07,299.04,218.26,299.04
7494.0,188.94,299.05,219.61,299.05
7634.0,190.77,299.07,220.94,299.07
7784.0,192.71,299.08,222.34,299.08
7924.0,194.48,299.1,223.63,299.1
8074.0,196.35,299.12,224.98,299.12
8214.0,198.06,299.13,226.22,299.13
8354.0,199.75,299.14,227.44,299.14
8504.0,201.52,299.16,228.72,299.16
8644.0,203.15,299.17,229.9,299.17
8794.0,204.86,299.19,231.14,299.19
8934.0,206.43,299.2,232.28,299.2
9074.0,207.91,299.22,233.39,299.22
9224.0,209.43,299.24,234.53,299.24
9364.0,210.83,299.25,235.58,299.25
9514.0,212.31,299.26,236.67,299.26
9654.0,213.67,299.28,237.68,299.28
9794.0,215.02,299.29,238.66,299.29
9944.0,216.44,299.3,239.7,299.3
10084.0,217.74,299.31,240.65,299.31
10234.0,219.12,299.32,241.66,299.32
10374.0,220.39,299.33,242.57,299.33
10514.0,221.64,299.34,243.48,299.34
10664.0,222.96,299.36,244.43,299.36
10804.0,224.17,299.37,245.31,299.37
10954.0,225.44,299.38,246.23,299.38
11094.0,226.61,299.39,247.08,299.39
11234.0,227.77,299.4,247.91,299.4
11384.0,228.98,299.41,248.79,299.41
11524.0,230.1,299.42,249.59,299.42
11674.0,231.28,299.43,250.44,299.43
11814.0,232.36,299.43,251.22,299.43
11954.0,233.42,299.44,251.99,299.44
12104.0,234.54,299.45,252.8,299.45
12244.0,235.57,299.46,253.54,299.46
12394.0,236.66,299.47,254.32,299.47
12534.0,237.65,299.48,255.04,299.48
12674.0,238.63,299.49,255.75,299.49
12824.0,239.67,299.5,256.49,299.5
12964.0,240.62,299.5,257.18,299.5
13114.0,241.62,299.51,257.9,299.51
13254.0,242.53,299.52,258.56,299.52
13394.0,243.44,299.53,259.21,299.53
13544.0,244.39,299.53,259.9,299.53
13684.0,245.27,299.54,260.53,299.54
13834.0,246.19,299.55,261.2,299.55
13974.0,247.03,299.56,261.81,299.56
14114.0,247.87,299.56,262.41,299.56
14264.0,248.75,299.57,263.04,299.57
14400.0,249.53,299.58,263.61,299.58
