Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,220.0,220.0,220.0,220.0
70.0,220.0,220.8916920400174,220.09134406263593,220.8916920400174
140.0,220.0,221.7833840800348,220.18268812527185,221.7833840800348
210.0,220.0,222.69063611111113,220.30814,222.69063611111113
280.0,220.0,223.604525,220.44814,223.604525
350.0,220.0,224.51791,220.59191916666666,224.51791
420.0,220.0,225.42791,220.76108583333334,225.42791
490.0,220.0024225,226.34033250000002,220.9399425,226.34033250000002
560.0,220.00825583333332,227.25616583333334,221.1324425,227.25616583333334
630.0,220.0127261111111,228.17063611111112,221.33448388888888,228.17063611111112
700.0,220.016615,229.08452499999999,221.540595,229.08452499999999
770.0,220.0222675,229.99866583333332,221.7494775,229.99866583333332
840.0,220.0397675,230.91449916666664,221.9769775,230.91449916666664
910.0,220.05807634605767,231.83120353392232,222.21176196032673,231.83120353392232
980.0,220.07752403178307,232.74913430016113,222.45680280046676,232.74913430016113
1050.0,220.09697171750847,233.66706506639994,222.70184364060677,233.66706506639994
1120.0,220.124625,234.583225,222.9567,234.583225
1190.0,220.15455,235.49905833333332,223.21488333333335,235.49905833333332
1260.0,220.18955,236.41489166666665,223.48321666666666,236.41489166666665
1330.0,220.2294,237.32991666666666,223.75639999999999,237.32991666666666
1400.0,220.27606666666668,238.24380555555555,224.03640000000001,238.24380555555555
1470.0,220.32273333333333,239.15769444444445,224.31640000000002,239.15769444444445
1540.0,220.384175,240.07815,224.60625000000002,240.07815
1610.0,220.4491,240.99880555555555,224.8999388888889,240.99880555555555
1680.0,220.5191,241.91269444444444,225.20716111111113,241.91269444444444
1750.0,220.5891,242.82658333333333,225.51438333333334,242.82658333333333
1820.0,220.668875,243.74481666666665,225.82595,243.74481666666665
1890.0,220.75637500000002,244.66648333333333,226.14095,244.66648333333333
1960.0,220.8488,245.583225,226.4658,245.583225
2030.0,220.94415555555557,246.4993111111111,226.79398333333333,246.4993111111111
2100.0,221.05304444444445,247.41708888888888,227.13231666666667,247.41708888888888
2170.0,221.16193333333334,248.33486666666667,227.47065,248.33486666666667
2240.0,221.278425,249.25155833333335,227.81224166666667,249.25155833333335
2310.0,221.400925,250.16739166666667,228.15640833333333,250.16739166666667
2380.0,221.53491666666667,251.08486666666667,228.51206666666667,251.08486666666667
2450.0,221.6710277777778,252.00264444444443,228.86984444444445,252.00264444444443
2520.0,221.80979166666668,252.91989166666664,229.230275,252.91989166666664
2590.0,221.955625,253.835725,229.59777499999998,253.835725
2660.0,222.107975,254.75481666666667,229.97179166666666,254.75481666666667
2730.0,222.26547499999998,255.67648333333332,230.35095833333332,255.67648333333332
2800.0,222.43446666666665,256.5948666666667,230.73505,256.5948666666667
2870.0,222.60557777777777,257.51264444444445,231.12005,257.51264444444445
2940.0,222.78093333333334,258.42989166666666,231.50664166666667,258.42989166666666
3010.0,222.9676,259.345725,231.897475,259.345725
3080.0,223.15861111111113,260.26264444444445,232.2959111111111,260.26264444444445
3150.0,223.35305555555556,261.1804222222222,232.70035555555555,261.1804222222222
3220.0,223.5475,262.0982,233.1048,262.0982
3290.0,223.75730000000001,263.01981666666666,233.51884166666667,263.01981666666666
3360.0,223.96889166666665,263.94148333333334,233.93141666666665,263.94148333333334
3430.0,224.184725,264.86314999999996,234.33975,264.86314999999996
3500.0,224.4081611111111,265.78264444444443,234.7524277777778,265.78264444444443
3570.0,224.63760555555555,266.7004222222222,235.1685388888889,266.7004222222222
3640.0,224.86705,267.6182,235.58465,267.6182
3710.0,225.10609166666666,268.53405833333335,236.01035833333333,268.53405833333335
3780.0,225.34897222222222,269.45148333333333,236.43884444444444,269.45148333333333
3850.0,225.60175,270.37315,236.8744,270.37315
3920.0,225.85452777777778,271.29481666666663,237.30995555555555,271.29481666666663
3990.0,226.114125,272.21239166666663,237.75505833333332,272.21239166666663
4060.0,226.376625,273.128225,238.204225,273.128225
4130.0,226.64488333333333,274.0498166666667,238.65339166666666,274.0498166666667
4200.0,226.9164,274.9704222222222,239.1062722222222,274.9704222222222
4270.0,227.1964,275.8882,239.56905,275.8882
4340.0,227.4764,276.8059777777778,240.03182777777778,276.8059777777778
4410.0,227.76458333333335,277.7223916666667,240.49733333333333,277.7223916666667
4480.0,228.05625,278.638225,240.964,278.638225
4550.0,228.35559444444445,279.5598166666667,241.43834444444445,279.5598166666667
4620.0,228.6550388888889,280.4814833333333,241.91278888888888,280.4814833333333
4690.0,228.96095000000003,281.40072499999997,242.391275,281.40072499999997
4760.0,229.27595,282.3165583333333,242.8754416666667,282.3165583333333
4830.0,229.59095,283.23648333333335,243.36370000000002,283.23648333333335
4900.0,229.90595,284.15815000000003,243.8537,284.15815000000003
4970.0,230.23630555555556,285.0759777777778,244.35137777777777,285.0759777777778
5040.0,230.5668611111111,285.99375555555554,244.84915555555554,285.99375555555554
5110.0,230.90064999999998,286.91315,245.34855,286.91315
5180.0,231.23898333333332,287.83481666666665,245.85021666666665,287.83481666666665
5250.0,231.5855,288.7537555555556,246.36006666666665,288.7537555555556
5320.0,231.93550000000002,289.67153333333334,246.8734,289.67153333333334
5390.0,232.28625833333334,290.5898166666667,247.38749166666668,290.5898166666667
5460.0,232.64209166666666,291.51148333333333,247.90665833333333,291.51148333333333
5530.0,233.00277499999999,292.430725,248.425825,292.430725
5600.0,233.370275,293.34655833333335,248.94499166666665,293.34655833333335
5670.0,233.74459444444443,294.2664833333333,249.47370555555554,294.2664833333333
5740.0,234.12181666666666,295.18815,250.00648333333334,295.18815
5810.0,234.50005,296.10905833333334,250.53976666666668,296.10905833333334
5880.0,234.88505,297.0248916666667,251.0764333333333,297.0248916666667
5950.0,235.27328333333335,297.94315,251.61633333333333,297.94315
6020.0,235.66606111111113,298.8648166666667,252.16077777777778,298.8648166666667
6090.0,236.05883888888889,299.78648333333336,252.7052222222222,299.78648333333336
6160.0,236.459825,300.70815,253.25295,300.70815
6230.0,236.86308333333335,301.6290583333333,253.80204166666667,301.6290583333333
6300.0,237.27141666666665,302.5448916666667,254.35620833333334,302.5448916666667
6370.0,237.6846,303.46315,254.91441666666668,303.46315
6440.0,238.1046,304.38481666666667,255.47830555555555,304.38481666666667
6510.0,238.5246,305.30648333333335,256.0421944444444,305.30648333333335
6580.0,238.949525,306.22814999999997,256.607725,306.22814999999997
6650.0,239.3766222222222,307.1493111111111,257.17482222222225,307.1493111111111
6720.0,239.81217777777778,308.06708888888886,257.75037777777777,308.06708888888886
6790.0,240.24773333333334,308.9848666666667,258.32593333333335,308.9848666666667
