Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,150.0,150.0,150.0,150.0
70.0,150.0,152.09185993633469,150.1955434288313,152.09185993633469
140.0,150.0,154.1837198726694,150.39108685766257,154.1837198726694
210.0,150.0,155.52115,150.618235,155.52115
280.0,150.0,156.67115,150.853235,156.67115
350.0,150.0,157.50876,151.06821,157.50876
420.0,150.0,158.26876,151.27821,158.26876
490.0,150.003738,158.928368,151.48073399999998,158.928368
560.0,150.00840466666665,159.56303466666665,151.68140066666666,159.56303466666665
630.0,150.01987214285714,160.1913392857143,151.88162857142856,160.1913392857143
700.0,150.03487214285713,160.8163392857143,152.08162857142858,160.8163392857143
770.0,150.05535666666665,161.32791933333334,152.27285333333333,161.32791933333334
840.0,150.07869,161.780586,152.45952,161.780586
910.0,150.10803886547117,162.23192827034364,152.64534828891905,162.23192827034364
980.0,150.14304636707865,162.68202471958278,152.8303879402729,162.68202471958278
1050.0,150.18320714285713,163.12949285714285,153.01798571428571,163.12949285714285
1120.0,150.22820714285714,163.57449285714284,153.2079857142857,163.57449285714284
1190.0,150.27888000000002,164.02104,153.39626666666666,164.02104
1260.0,150.33488,164.46904,153.58293333333333,164.46904
1330.0,150.3961,164.91592142857144,153.77084285714284,164.91592142857144
1400.0,150.46609999999998,165.36092142857143,153.96084285714286,165.36092142857143
1470.0,150.53784,165.76876,154.14786,165.76876
1540.0,150.61250666666666,166.11409333333333,154.32986,166.11409333333333
1610.0,150.6907,166.45935,154.51255,166.45935
1680.0,150.7807,166.80435,154.69755,166.80435
1750.0,150.87185,167.14935,154.8814,167.14935
1820.0,150.96685,167.49435,155.0614,167.49435
1890.0,151.06361333333334,167.83835333333332,155.24293333333333,167.83835333333332
1960.0,151.16628,168.17902,155.4296,168.17902
2030.0,151.2695857142857,168.52006428571428,155.61612142857143,168.52006428571428
2100.0,151.3795857142857,168.86506428571428,155.80112142857143,168.86506428571428
2170.0,151.49016666666665,169.20521333333335,155.98586,169.20521333333335
2240.0,151.60683333333333,169.49454666666668,156.16786000000002,169.49454666666668
2310.0,151.7235,169.78388,156.34986,169.78388
2380.0,151.84331428571429,170.07384285714286,156.53469285714286,170.07384285714286
2450.0,151.9633142857143,170.36384285714286,156.71969285714286,170.36384285714286
2520.0,152.09275714285712,170.65384285714285,156.89997142857143,170.65384285714285
2590.0,152.22275714285712,170.94384285714287,157.07997142857144,170.94384285714287
2660.0,152.35338666666667,171.23762,157.26626666666667,171.23762
2730.0,152.48405333333332,171.53162,157.45293333333333,171.53162
2800.0,152.61819285714284,171.82241428571427,157.63826428571429,171.82241428571427
2870.0,152.75319285714286,172.11241428571427,157.8232642857143,172.11241428571427
2940.0,152.8922,172.3757,158.00586,172.3757
3010.0,153.03220000000002,172.63236666666666,158.18786,172.63236666666666
3080.0,153.17549285714287,172.8879357142857,158.36854285714287,172.8879357142857
3150.0,153.32049285714285,173.1429357142857,158.54854285714288,173.1429357142857
3220.0,153.46549285714286,173.39793571428572,158.73183571428572,173.39793571428572
3290.0,153.61049285714284,173.65293571428572,158.9168357142857,173.65293571428572
3360.0,153.75834666666665,173.90903333333333,159.1029333333333,173.90903333333333
3430.0,153.90768,174.1657,159.2896,174.1657
3500.0,154.05735714285714,174.42150714285714,159.47540714285714,174.42150714285714
3570.0,154.20735714285715,174.67650714285716,159.66040714285714,174.67650714285716
3640.0,154.36182666666667,174.92033333333333,159.84386,174.92033333333333
3710.0,154.52049333333335,175.15366666666668,160.02586,175.15366666666668
3780.0,154.67779285714286,175.38575714285716,160.20897857142856,175.38575714285716
3850.0,154.83279285714286,175.61575714285715,160.39397857142856,175.61575714285715
3920.0,154.98965714285714,175.84575714285714,160.57897857142856,175.84575714285714
3990.0,155.14965714285714,176.07575714285713,160.76397857142857,176.07575714285713
