Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,300.0,300.0,300.0,300.0
70.0,300.0,300.6227677121891,300.0545489966881,300.6227677121891
140.0,300.0,301.2455354243782,300.1090979933762,301.2455354243782
210.0,300.0,301.8820914285714,300.18801214285713,301.8820914285714
280.0,300.0,302.5220914285714,300.27301214285717,302.5220914285714
350.0,300.0,303.16209142857144,300.3780157142857,303.16209142857144
420.0,300.0,303.80209142857143,300.4880157142857,303.80209142857143
490.0,300.0,304.441558,300.607084,304.441558
560.0,300.0,305.08089133333334,300.7284173333333,305.08089133333334
630.0,300.0,305.7206628571429,300.85873357142856,305.7206628571429
700.0,300.0,306.36066285714287,300.9937335714286,306.36066285714287
770.0,300.0030673333333,307.003292,301.1381546666667,307.003292
840.0,300.00773399999997,307.647292,301.287488,307.647292
910.0,300.0151439182915,308.2892107706592,301.44230269266484,308.2892107706592
980.0,300.0251432040568,308.9291650596386,301.60229126490964,308.9291650596386
1050.0,300.03514285714283,309.5717142857143,301.7674285714286,309.5717142857143
1120.0,300.0451428571429,310.21671428571426,301.93742857142854,310.21671428571426
1190.0,300.0596,310.8588,302.1112,310.8588
1260.0,300.07826666666665,311.4981333333333,302.2885333333333,311.4981333333333
1330.0,300.0992857142857,312.1395714285714,302.4705714285714,312.1395714285714
1400.0,300.1242857142857,312.78457142857144,302.6605714285714,312.78457142857144
1470.0,300.1521333333333,313.4292,302.85106666666667,313.4292
1540.0,300.1848,314.0732,303.0424,314.0732
1610.0,300.21799999999996,314.71628571428573,303.23685714285716,314.71628571428573
1680.0,300.253,315.3562857142857,303.44185714285715,315.3562857142857
1750.0,300.2902857142857,315.9974285714286,303.648,315.9974285714286
1820.0,300.3352857142857,316.6424285714286,303.858,316.6424285714286
1890.0,300.38280000000003,317.2872,304.06906666666663,317.2872
1960.0,300.4388,317.9312,304.2837333333333,317.9312
2030.0,300.49514285714287,318.5748571428571,304.49928571428575,318.5748571428571
2100.0,300.55514285714287,319.2148571428571,304.7242857142857,319.2148571428571
2170.0,300.616,319.8552,304.94960000000003,319.8552
2240.0,300.686,320.49920000000003,305.1782666666667,320.49920000000003
2310.0,300.756,321.1432,305.40693333333337,321.1432
2380.0,300.83542857142857,321.7881428571429,305.64628571428574,321.7881428571429
2450.0,300.9154285714286,322.4331428571429,305.8862857142857,322.4331428571429
2520.0,301.00014285714286,323.0781428571429,306.1262857142857,323.0781428571429
2590.0,301.08514285714284,323.7231428571429,306.3662857142857,323.7231428571429
2660.0,301.178,324.36719999999997,306.6176,324.36719999999997
2730.0,301.27133333333336,325.0112,306.8696,325.0112
2800.0,301.37,325.652,307.124,325.652
2870.0,301.47,326.29200000000003,307.379,326.29200000000003
