Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
145.45454545454547,100.0,104.3455927069618,100.41566538936156,104.3455927069618
290.90909090909093,100.0,106.84971363636365,100.91928681818183,106.84971363636365
436.3636363636364,100.00031915151516,108.44170230303031,101.37702133333333,108.44170230303031
581.8181818181819,100.0197130909091,109.76049018181818,101.80368800000001,109.76049018181818
727.2727272727274,100.05154127272726,111.05135763636363,102.23902745454546,111.05135763636363
872.7272727272727,100.11942006060606,111.99196369696969,102.63660321212122,111.99196369696969
1018.1818181818182,100.20328571428571,112.92658441558441,103.04135064935065,112.92658441558441
1163.6363636363637,100.31963636363636,113.85167272727273,103.43698181818182,113.85167272727273
1309.0909090909092,100.46581818181818,114.78236363636364,103.84454545454545,114.78236363636364
1454.5454545454547,100.63335757575759,115.69202424242424,104.25882424242425,115.69202424242424
1600.0000000000002,100.81857142857143,116.40957142857143,104.65628571428572,116.40957142857143
1745.4545454545455,101.028,117.12645454545454,105.0510909090909,117.12645454545454
1890.909090909091,101.25818181818182,117.84229090909092,105.44621818181818,117.84229090909092
2036.3636363636365,101.50119480519481,118.55093506493506,105.84355844155844,118.55093506493506
2181.818181818182,101.7532606060606,119.2536484848485,106.23870303030303,119.2536484848485
2327.2727272727275,102.0255974025974,119.85498701298701,106.63602597402597,119.85498701298701
2472.727272727273,102.30745454545455,120.4575844155844,107.03216883116883,120.4575844155844
2618.1818181818185,102.59836363636363,121.06156363636363,107.43609696969698,121.06156363636363
2763.636363636364,102.89207792207792,121.67135064935066,107.8332987012987,121.67135064935066
2909.0909090909095,103.2052,122.262,108.22858181818181,122.262
3054.545454545455,103.52549350649352,122.79484415584416,108.62723376623376,122.79484415584416
3200.0000000000005,103.84942857142858,123.3247142857143,109.03057142857142,123.3247142857143
3345.454545454546,104.18129696969697,123.85533333333333,109.42597575757576,123.85533333333333
3490.909090909091,104.51342857142858,124.38802597402598,109.82496103896104,124.38802597402598
3636.3636363636365,104.85767272727273,124.90787878787879,110.22846060606061,124.90787878787879
3781.818181818182,105.20755844155845,125.3914025974026,110.62550649350649,125.3914025974026
3927.2727272727275,105.5608051948052,125.86932467532468,111.02268831168831,125.86932467532468
4072.727272727273,105.91552727272727,126.3490909090909,111.42585454545454,126.3490909090909
4218.181818181819,106.27545454545455,126.83231168831169,111.82522077922079,126.83231168831169
4363.636363636364,106.64041212121212,127.30155151515152,112.2283393939394,127.30155151515152
4509.09090909091,107.01023376623377,127.74777922077922,112.62524675324676,127.74777922077922
4654.545454545455,107.38425974025974,128.19163636363635,113.02005194805194,128.19163636363635
4800.0,107.75653333333334,128.63106666666667,113.41573333333334,128.63106666666667
4945.454545454546,108.1265974025974,129.07436363636364,113.81548051948053,129.07436363636364
5090.909090909091,108.50196363636363,129.50447272727274,114.2150909090909,129.50447272727274
5236.363636363637,108.88196103896104,129.918012987013,114.60498701298701,129.918012987013
5381.818181818182,109.26637662337663,130.3266233766234,114.99979220779221,130.3266233766234
5527.272727272728,109.6485090909091,130.74271515151517,115.39561212121212,130.74271515151517
5672.727272727273,110.02877922077923,131.15574025974027,115.79225974025974,131.15574025974027
5818.181818181819,110.41448484848485,131.55448484848486,116.18809696969697,131.55448484848486
5963.636363636364,110.80118181818182,131.94472727272728,116.58118181818182,131.94472727272728
6109.09090909091,111.18953246753247,132.33559740259741,116.96953246753246,132.33559740259741
6254.545454545455,111.58145454545455,132.72145454545455,117.36145454545455,132.72145454545455
6400.000000000001,111.968,133.108,117.752,133.108
6545.454545454546,112.35387878787878,133.48568484848485,118.14387878787879,133.48568484848485
6690.909090909092,112.74446753246754,133.85633766233767,118.5304025974026,133.85633766233767
6836.363636363637,113.13481818181819,134.22590909090908,118.91481818181819,134.22590909090908
6981.818181818182,113.52084848484849,134.59180606060605,119.30084848484849,134.59180606060605
7127.272727272728,113.91174025974026,134.95818181818183,119.68722077922078,134.95818181818183
7272.727272727273,114.30327272727273,135.31494545454547,120.0686909090909,135.31494545454547
7418.181818181819,114.68962337662337,135.66587012987011,120.44962337662338,135.66587012987011
7563.636363636364,115.07403896103897,136.01414285714287,120.82906493506493,136.01414285714287
7709.09090909091,115.46524848484849,136.36021818181817,121.20523636363637,136.36021818181817
7854.545454545455,115.85644155844156,136.71132467532468,121.5814025974026,136.71132467532468
8000.000000000001,116.24266666666666,137.05226666666667,121.95760000000001,137.05226666666667
8145.454545454546,116.62884415584416,137.38332467532467,122.33374025974027,137.38332467532467
8290.909090909092,117.01325974025974,137.71579220779222,122.70776623376624,137.71579220779222
8436.363636363638,117.39963636363638,138.05218181818182,123.07865454545455,138.05218181818182
8581.818181818182,117.78566233766234,138.38787012987012,123.4501038961039,138.38787012987012
8727.272727272728,118.1665090909091,138.7132,123.82095757575757,138.7132
8872.727272727274,118.54806493506494,139.03432467532468,124.18681818181818,139.03432467532468
9018.18181818182,118.93248051948052,139.3564025974026,124.55646753246754,139.3564025974026
9163.636363636364,119.31305454545455,139.67122424242424,124.92110303030303,139.67122424242424
9309.09090909091,119.69488311688312,139.9884155844156,125.28272727272727,139.9884155844156
9454.545454545456,120.0754181818182,140.30316363636365,125.64938181818182,140.30316363636365
9600.0,120.45114285714286,140.6142857142857,126.00885714285714,140.6142857142857
9745.454545454546,120.83170129870129,140.91944155844158,126.36863636363636,140.91944155844158
9890.909090909092,121.20550303030303,141.2267393939394,126.72904242424242,141.2267393939394
10036.363636363638,121.5775064935065,141.53792207792208,127.0843116883117,141.53792207792208
10181.818181818182,121.95432727272727,141.83563636363635,127.43476363636364,141.83563636363635
10327.272727272728,122.32984415584416,142.1332077922078,127.78651948051949,142.1332077922078
10472.727272727274,122.69681818181819,142.4345064935065,128.13976623376624,142.4345064935065
10618.18181818182,123.07087272727273,142.72836363636364,128.49003636363636,142.72836363636364
10763.636363636364,123.43909090909091,143.02638961038963,128.84197402597403,143.02638961038963
10909.09090909091,123.8062303030303,143.32018181818182,129.1922181818182,143.32018181818182
11054.545454545456,124.17136363636364,143.6039090909091,129.537,143.6039090909091
11200.000000000002,124.53500000000001,143.89200000000002,129.87985714285716,143.89200000000002
11345.454545454546,124.90235151515152,144.18290909090908,130.2200606060606,144.18290909090908
11490.909090909092,125.25963636363637,144.4661818181818,130.56199999999998,144.4661818181818
11636.363636363638,125.62465454545455,144.74723636363638,130.90218181818182,144.74723636363638
11781.818181818182,125.98184415584416,145.02793506493506,131.24414285714286,145.02793506493506
11927.272727272728,126.33509090909092,145.30845454545457,131.57081818181817,145.30845454545457
12072.727272727274,126.6770303030303,145.5895393939394,131.8912,145.5895393939394
12218.18181818182,127.01914285714285,145.8702077922078,132.20467532467532,145.8702077922078
12363.636363636364,127.35117575757576,146.1433212121212,132.5232,146.1433212121212
12509.09090909091,127.69128571428571,146.41374025974028,132.83662337662338,146.41374025974028
12654.545454545456,128.02553246753246,146.68387012987014,133.15692207792208,146.68387012987014
12800.000000000002,128.3556,146.94680000000002,133.46880000000002,146.94680000000002
12945.454545454546,128.68761038961037,147.21555844155844,133.78025974025974,147.21555844155844
13090.909090909092,129.0176606060606,147.48689696969697,134.0992,147.48689696969697
13236.363636363638,129.3496883116883,147.7485064935065,134.40346753246754,147.7485064935065
13381.818181818184,129.67302597402596,148.00824675324677,134.7138961038961,148.00824675324677
13527.272727272728,130.00208484848486,148.26989090909092,135.02431515151517,148.26989090909092
13672.727272727274,130.33423376623378,148.53906493506494,135.33584415584417,148.53906493506494
13818.18181818182,130.6552,148.79258181818182,135.63730909090907,148.79258181818182
13963.636363636364,130.97705194805195,149.0514935064935,135.94779220779222,149.0514935064935
14109.09090909091,131.29912987012986,149.31123376623376,136.24983116883115,149.31123376623376
14254.545454545456,131.61919999999998,149.56361212121215,136.5504606060606,149.56361212121215
14400.0,131.94,149.82,136.86,149.82
