Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
70.0,100.0,100.23186335000325,100.02273170098071,100.23186335000325
140.0,100.0,100.4637267000065,100.04546340196141,100.4637267000065
210.0,100.0,100.70210285714286,100.078015,100.70210285714286
280.0,100.0,100.94210285714286,100.113015,100.94210285714286
350.0,100.0,101.18210285714285,100.15601928571428,101.18210285714285
420.0,100.0,101.42210285714286,100.20101928571428,101.42210285714286
490.0,100.0,101.66423733333333,100.254824,101.66423733333333
560.0,100.0,101.906904,100.310824,101.906904
630.0,100.00328785714287,102.14781714285714,100.36616642857143,102.14781714285714
700.0,100.00828785714286,102.38781714285714,100.42116642857142,102.38781714285714
770.0,100.01306866666667,102.626502,100.48296133333334,102.626502
840.0,100.01773533333333,102.864502,100.54829466666666,102.864502
910.0,100.02257302006713,103.10350496322216,100.61344926087267,103.10350496322216
980.0,100.0275719488681,103.34345354566878,100.67843533528529,103.34345354566878
1050.0,100.03514285714286,103.586,100.746,103.586
1120.0,100.04514285714285,103.831,100.81599999999999,103.831
1190.0,100.0572,104.0724,100.8908,104.0724
1260.0,100.0712,104.3104,100.97013333333332,104.3104
1330.0,100.08742857142857,104.54914285714285,101.04971428571429,104.54914285714285
1400.0,100.10742857142857,104.78914285714285,101.12971428571429,104.78914285714285
1470.0,100.12693333333334,105.03013333333332,101.20946666666667,105.03013333333332
1540.0,100.1456,105.27279999999999,101.2888,105.27279999999999
1610.0,100.16685714285714,105.51485714285714,101.36942857142857,105.51485714285714
1680.0,100.19685714285714,105.75485714285713,101.45442857142856,105.75485714285713
1750.0,100.22685714285714,105.99485714285714,101.54057142857143,105.99485714285714
1820.0,100.25685714285714,106.23485714285714,101.63057142857143,106.23485714285714
1890.0,100.28746666666667,106.47546666666666,101.72133333333333,106.47546666666666
1960.0,100.32013333333333,106.71813333333333,101.81466666666667,106.71813333333333
2030.0,100.35342857142857,106.96057142857143,101.90814285714286,106.96057142857143
2100.0,100.39342857142857,107.20057142857142,102.00314285714286,107.20057142857142
2170.0,100.43360000000001,107.4408,102.0984,107.4408
2240.0,100.4756,107.68346666666666,102.1964,107.68346666666666
2310.0,100.5176,107.92613333333333,102.2944,107.92613333333333
