Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,160.0,160.0,160.0,160.0
70.0,160.0,160.46839472487494,160.04092769440655,160.46839472487494
140.0,160.0,160.93678944974988,160.0818553888131,160.93678944974988
210.0,160.0,161.410475,160.15007500000002,161.410475
280.0,160.0,161.88547499999999,160.225075,161.88547499999999
350.0,160.0,162.36448,160.308085,162.36448
420.0,160.0,162.84448,160.39308499999999,162.84448
490.0,160.0,163.325014,160.492236,163.325014
560.0,160.0,163.80568066666666,160.59490266666666,163.80568066666666
630.0,160.00329071428573,164.28590857142856,160.7023957142857,164.28590857142856
700.0,160.00829071428572,164.76590857142858,160.8123957142857,164.76590857142858
770.0,160.01307133333333,165.24941866666668,160.92985466666667,165.24941866666668
840.0,160.017738,165.73475200000001,161.051188,165.73475200000001
910.0,160.0251539615632,166.21739015503323,161.1744245195399,166.21739015503323
980.0,160.0351561048796,166.69749303422162,161.29945131099524,166.69749303422162
1050.0,160.05031428571428,167.17754285714287,161.4322,167.17754285714287
1120.0,160.0703142857143,167.65754285714286,161.57219999999998,167.65754285714286
1190.0,160.08962666666667,168.13788666666665,161.71460666666664,168.13788666666665
1260.0,160.10829333333334,168.61855333333332,161.85927333333333,168.61855333333332
1330.0,160.13118571428572,169.1008357142857,162.00592857142857,169.1008357142857
1400.0,160.16118571428572,169.5858357142857,162.15592857142857,169.5858357142857
1470.0,160.19392,170.06921999999997,162.30916,170.06921999999997
1540.0,160.23125333333334,170.54988666666665,162.46782666666667,170.54988666666665
1610.0,160.26919999999998,171.0304,162.62795,171.0304
1680.0,160.3092,171.5104,162.79295,171.5104
1750.0,160.35150000000002,171.99155,162.95909999999998,171.99155
1820.0,160.4015,172.47655,163.1291,172.47655
1890.0,160.45395333333332,172.96055333333334,163.30078666666665,172.96055333333334
1960.0,160.51462,173.44122,163.47812,173.44122
2030.0,160.57522857142857,173.92226428571428,163.65612142857142,173.92226428571428
2100.0,160.63522857142857,174.4072642857143,163.84112142857143,174.4072642857143
2170.0,160.69650666666666,174.89188666666666,164.02626666666666,174.89188666666666
2240.0,160.77117333333334,175.37255333333331,164.21293333333332,175.37255333333331
2310.0,160.84583999999998,175.85322,164.3996,175.85322
2380.0,160.92554285714286,176.33325714285715,164.59413571428573,176.33325714285715
2450.0,161.00554285714284,176.81325714285714,164.78913571428572,176.81325714285714
2520.0,161.09026428571428,177.2979785714286,164.98885714285714,177.2979785714286
2590.0,161.1752642857143,177.78297857142857,165.18885714285713,177.78297857142857
2660.0,161.26813333333334,178.26388666666668,165.39389333333332,178.26388666666668
2730.0,161.36146666666667,178.74455333333333,165.59922666666665,178.74455333333333
2800.0,161.46014285714287,179.22869285714285,165.80429285714285,179.22869285714285
2870.0,161.56014285714286,179.71369285714286,166.00929285714287,179.71369285714286
2940.0,161.66602,180.19522,166.22204,180.19522
3010.0,161.77335333333335,180.67588666666666,166.43670666666665,180.67588666666666
3080.0,161.88573571428572,181.15940714285713,166.6548857142857,181.15940714285713
3150.0,162.0007357142857,181.64440714285715,166.8748857142857,181.64440714285715
3220.0,162.1223214285714,182.1261142857143,167.09817857142858,182.1261142857143
3290.0,162.2473214285714,182.60611428571428,167.32317857142857,182.60611428571428
3360.0,162.37297999999998,183.08962666666667,167.55059333333332,183.08962666666667
3430.0,162.49898,183.57496,167.77926,183.57496
3500.0,162.62962142857143,184.06012142857142,168.01119285714285,184.06012142857142
3570.0,162.76462142857144,184.54512142857143,168.24619285714286,184.54512142857143
3640.0,162.90220000000002,185.02788666666666,168.48274,185.02788666666666
3710.0,163.0422,185.50855333333334,168.72074,185.50855333333334
3780.0,163.18406428571427,185.9908357142857,168.96135,185.9908357142857
3850.0,163.32906428571428,186.47583571428572,169.20635000000001,186.47583571428572
3920.0,163.47779285714284,186.95897142857143,169.45135000000002,186.95897142857143
3990.0,163.63279285714285,187.43897142857142,169.69635,187.43897142857142
4060.0,163.78915999999998,187.92096,169.94396,187.92096
4130.0,163.94782666666666,188.40629333333334,170.19595999999999,188.40629333333334
4200.0,164.10795,188.89155,170.44979999999998,188.89155
4270.0,164.27295,189.37655,170.7098,189.37655
4340.0,164.43971333333334,189.86055333333334,170.96903333333333,189.86055333333334
4410.0,164.61238,190.34122,171.22570000000002,190.34122
4480.0,164.78525000000002,190.82226428571428,171.48309285714288,190.82226428571428
4550.0,164.96025,191.3072642857143,171.74809285714286,191.3072642857143
4620.0,165.13568571428573,191.79182857142857,172.0135285714286,191.79182857142857
4690.0,165.3156857142857,192.27182857142859,172.28352857142858,192.27182857142859
4760.0,165.49667333333332,192.75229333333334,172.55358666666666,192.75229333333334
4830.0,165.68800666666667,193.23762666666667,172.82425333333333,193.23762666666667
4900.0,165.87933999999998,193.72296,173.09492,193.72296
4970.0,166.0694142857143,194.20797857142858,173.3744,194.20797857142858
5040.0,166.25941428571429,194.69297857142857,173.65439999999998,194.69297857142857
5110.0,166.45948666666666,195.17388666666668,173.9344,195.17388666666668
5180.0,166.6601533333333,195.65455333333333,174.2144,195.65455333333333
5250.0,166.86429285714286,196.13869285714287,174.4944,196.13869285714287
5320.0,167.06929285714287,196.62369285714286,174.7744,196.62369285714286
5390.0,167.27429285714288,197.10869285714287,175.06241428571428,197.10869285714287
5460.0,167.47929285714287,197.59369285714286,175.35241428571427,197.59369285714286
5530.0,167.69204,198.07522,175.64188,198.07522
5600.0,167.90670666666665,198.55588666666668,175.93121333333335,198.55588666666668
5670.0,168.1248857142857,199.03940714285716,176.22427857142858,199.03940714285716
5740.0,168.3448857142857,199.52440714285714,176.51927857142857,199.52440714285714
5810.0,168.56752,200.00962666666666,176.81669333333335,200.00962666666666
5880.0,168.79152,200.49496,177.11536,200.49496
5950.0,169.0186142857143,200.9801214285714,177.4147142857143,200.9801214285714
6020.0,169.2486142857143,201.46512142857142,177.7147142857143,201.46512142857142
