Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
70.0,100.0,102.09131649022537,100.20003896863025,102.09131649022537
140.0,100.0,104.18263298045073,100.4000779372605,104.18263298045073
210.0,100.0,105.52049285714286,100.636105,105.52049285714286
280.0,100.0,106.67049285714286,100.881105,106.67049285714286
350.0,100.0,107.50832571428572,101.10609428571429,107.50832571428572
420.0,100.0,108.26832571428572,101.32609428571429,108.26832571428572
490.0,100.00747066666666,108.92800533333333,101.53435466666667,108.92800533333333
560.0,100.016804,109.562672,101.739688,109.562672
630.0,100.02986357142856,110.19098214285714,101.94809000000001,110.19098214285714
700.0,100.04486357142856,110.81598214285714,102.15809,110.81598214285714
770.0,100.07148066666666,111.32766066666667,102.35581533333334,111.32766066666667
840.0,100.10414733333333,111.78032733333333,102.54714866666667,111.78032733333333
910.0,100.14058416053703,112.23157180604156,102.74034778261802,112.23157180604156
980.0,100.1805755909448,112.68147539812898,102.93530600585589,112.68147539812898
1050.0,100.22828571428572,113.12885714285714,103.12771428571429,113.12885714285714
1120.0,100.28328571428571,113.57385714285715,103.31771428571429,113.57385714285715
1190.0,100.346,114.02040000000001,103.5108,114.02040000000001
1260.0,100.416,114.4684,103.7068,114.4684
1330.0,100.48971428571429,114.91528571428572,103.90428571428572,114.91528571428572
1400.0,100.56971428571428,115.36028571428571,104.10428571428572,115.36028571428571
1470.0,100.65293333333334,115.76826666666666,104.30106666666667,115.76826666666666
1540.0,100.7416,116.11359999999999,104.4924,116.11359999999999
1610.0,100.83285714285715,116.45885714285714,104.68342857142858,116.45885714285714
1680.0,100.93285714285715,116.80385714285714,104.87342857142858,116.80385714285714
1750.0,101.03514285714286,117.14885714285714,105.06342857142857,117.14885714285714
1820.0,101.14514285714286,117.49385714285714,105.25342857142857,117.49385714285714
1890.0,101.25666666666667,117.83786666666667,105.44373333333334,117.83786666666667
1960.0,101.37333333333333,118.17853333333333,105.63506666666667,118.17853333333333
2030.0,101.49028571428572,118.51957142857142,105.82628571428572,118.51957142857142
2100.0,101.61028571428571,118.86457142857142,106.01628571428571,118.86457142857142
2170.0,101.7312,119.2048,106.2064,119.2048
2240.0,101.86186666666667,119.49413333333334,106.39773333333333,119.49413333333334
2310.0,101.99253333333333,119.78346666666667,106.58906666666667,119.78346666666667
2380.0,102.12728571428572,120.07342857142856,106.77914285714286,120.07342857142856
2450.0,102.26228571428571,120.36342857142857,106.96914285714286,120.36342857142857
2520.0,102.402,120.65342857142856,107.16385714285715,120.65342857142856
2590.0,102.542,120.94342857142857,107.35885714285715,120.94342857142857
2660.0,102.682,121.2372,107.5504,121.2372
2730.0,102.82199999999999,121.5312,107.74173333333333,121.5312
2800.0,102.97,121.822,107.932,121.822
2870.0,103.12,122.112,108.122,122.112
2940.0,103.2732,122.37533333333333,108.31306666666666,122.37533333333333
3010.0,103.4272,122.632,108.50439999999999,122.632
3080.0,103.58185714285715,122.88757142857143,108.69814285714286,122.88757142857143
3150.0,103.73685714285715,123.14257142857143,108.89314285714285,123.14257142857143
3220.0,103.89514285714286,123.39757142857142,109.08485714285715,123.39757142857142
3290.0,104.05514285714285,123.65257142857142,109.27485714285714,123.65257142857142
3360.0,104.21426666666667,123.90866666666666,109.46573333333333,123.90866666666666
3430.0,104.37293333333334,124.16533333333334,109.65706666666667,124.16533333333334
3500.0,104.53485714285715,124.42114285714285,109.85028571428572,124.42114285714285
3570.0,104.69985714285714,124.67614285714285,110.04528571428571,124.67614285714285
3640.0,104.8664,124.92,110.2384,124.92
3710.0,105.0344,125.15333333333334,110.42973333333333,125.15333333333334
3780.0,105.20314285714286,125.38542857142858,110.62057142857142,125.38542857142858
3850.0,105.37314285714287,125.61542857142858,110.81057142857144,125.61542857142858
3920.0,105.54314285714285,125.84542857142857,111.00242857142858,125.84542857142857
3990.0,105.71314285714286,126.07542857142857,111.19742857142857,126.07542857142857
4060.0,105.88413333333332,126.30666666666667,111.39106666666666,126.30666666666667
