Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,300.0,300.0,300.0,300.0
70.0,300.0,301.2455354243782,300.10455224365217,301.2455354243782
140.0,300.0,302.4910708487564,300.2091044873044,302.4910708487564
210.0,300.0,303.7641828571429,300.370025,303.7641828571429
280.0,300.0,305.04418285714286,300.545025,305.04418285714286
350.0,300.0,306.3241828571429,300.7520307142857,306.3241828571429
420.0,300.0,307.60418285714286,300.9670307142857,307.60418285714286
490.0,300.0,308.88311600000003,301.207902,308.88311600000003
560.0,300.0,310.1617826666667,301.45523533333335,310.1617826666667
630.0,300.0032864285714,311.4446121428572,301.7207535714286,311.4446121428572
700.0,300.0082864285714,312.72961214285715,301.99575357142857,312.72961214285715
770.0,300.01613466666663,314.0135166666667,302.28630933333335,314.0135166666667
840.0,300.025468,315.29685,302.584976,315.29685
910.0,300.0377158774373,316.5809935004643,302.8946053853296,316.5809935004643
980.0,300.05271480608525,317.86590172130565,303.2145825298193,317.86590172130565
1050.0,300.0728571428572,319.14828571428575,303.5422857142857,319.14828571428575
1120.0,300.09785714285715,320.4282857142857,303.87728571428573,320.4282857142857
1190.0,300.1268,321.7124,304.2248,321.7124
1260.0,300.1594666666667,323.0004,304.58413333333334,323.0004
1330.0,300.1985714285714,324.2872857142857,304.9474285714286,324.2872857142857
1400.0,300.24857142857144,325.5722857142857,305.3174285714286,325.5722857142857
1470.0,300.3025333333333,326.8566666666667,305.6956,326.8566666666667
1540.0,300.3632,328.14,306.0876,328.14
1610.0,300.4271428571429,329.42485714285715,306.4825714285714,329.42485714285715
1680.0,300.50214285714287,330.7148571428571,306.8875714285714,330.7148571428571
1750.0,300.58171428571427,332.00371428571424,307.29485714285715,332.00371428571424
1820.0,300.6767142857143,333.28871428571426,307.7098571428571,333.28871428571426
1890.0,300.77346666666665,334.5733333333333,308.12919999999997,334.5733333333333
1960.0,300.87613333333337,335.8566666666666,308.5632,335.8566666666666
2030.0,300.9807142857143,337.1405714285714,308.9985714285714,337.1405714285714
2100.0,301.1057142857143,338.4305714285714,309.4485714285714,338.4305714285714
2170.0,301.232,339.72040000000004,309.8996,339.72040000000004
2240.0,301.372,341.0084,310.3616,341.0084
2310.0,301.512,342.2964,310.8236,342.2964
2380.0,301.66614285714286,343.58628571428574,311.29314285714287,343.58628571428574
2450.0,301.82114285714283,344.8762857142857,311.7631428571429,344.8762857142857
2520.0,301.99028571428573,346.1615714285714,312.23314285714287,346.1615714285714
2590.0,302.16028571428575,347.4465714285714,312.7031428571429,347.4465714285714
2660.0,302.346,348.7344,313.192,348.7344
2730.0,302.53266666666667,350.02239999999995,313.68199999999996,350.02239999999995
2800.0,302.734,351.308,314.17999999999995,351.308
