Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,160.0,160.0,160.0,160.0
145.45454545454547,160.0,161.76226383122935,160.1807450083312,161.76226383122935
290.90909090909093,160.0,163.55282878787878,160.45991818181818,163.55282878787878
436.3636363636364,160.0,165.3467681818182,160.79058295454544,165.3467681818182
581.8181818181819,160.01009646464647,167.1407558080808,161.17250808080806,167.1407558080808
727.2727272727274,160.02625808080808,168.94277601010103,161.59271010101008,168.94277601010103
872.7272727272727,160.05794431818182,170.74790113636362,162.05327613636365,170.74790113636362
1018.1818181818182,160.10575664957437,172.55062214251436,162.54519260400616,172.55062214251436
1163.6363636363637,160.1713681818182,174.35564318181818,163.0667,174.35564318181818
1309.0909090909092,160.2663707070707,176.1519313131313,163.61230858585859,176.1519313131313
1454.5454545454547,160.379502020202,177.9620323232323,164.18604595959596,177.9620323232323
1600.0000000000002,160.5191,179.768825,164.78625,179.768825
1745.4545454545455,160.68864696969698,181.5708702020202,165.40837222222223,181.5708702020202
1890.909090909091,160.87667878787877,183.37594621212122,166.0550409090909,183.37594621212122
2036.3636363636365,161.10663181818182,185.18157727272728,166.7238818181818,185.18157727272728
2181.818181818182,161.35713686868687,186.98359747474748,167.4188313131313,186.98359747474748
2327.2727272727275,161.6330994949495,188.78930505050505,168.1222176767677,188.78930505050505
2472.727272727273,161.9320893939394,190.59940606060604,168.8575712121212,190.59940606060604
2618.1818181818185,162.26365757575758,192.40624924242425,169.61572954545454,192.40624924242425
2763.636363636364,162.6206303030303,194.2116782828283,170.38378686868685,194.2116782828283
2909.0909090909095,163.0085090909091,196.01369848484848,171.17570606060607,196.01369848484848
3054.545454545455,163.41093636363638,197.82905202020203,171.98808232323233,197.82905202020203
3200.0000000000005,163.8473,199.6310722222222,172.82040555555557,199.6310722222222
3345.454545454546,164.3148022727273,201.43655227272728,173.6669477272727,201.43655227272728
3490.909090909091,164.79503181818183,203.24511363636364,174.52838737373736,203.24511363636364
3636.3636363636365,165.30412272727273,205.06329545454545,175.39303383838381,205.06329545454545
3781.818181818182,165.82902424242425,206.87031515151517,176.26783333333333,206.87031515151517
3927.2727272727275,166.3785191919192,208.68041616161617,177.15672222222224,208.68041616161617
4072.727272727273,166.9482946969697,210.4868553030303,178.0658916666667,210.4868553030303
4218.181818181819,167.5453409090909,212.29395151515155,179.0002606060606,212.29395151515155
