Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,400.0,400.0,400.0,400.0
145.45454545454547,400.0,401.9399757575758,400.1526181818182,401.9399757575758
290.90909090909093,400.0,403.93755151515154,400.41443636363636,403.93755151515154
436.3636363636364,400.0,405.9324606060606,400.7259878787879,405.9324606060606
581.8181818181819,400.0,407.93003636363636,401.0944727272728,407.93003636363636
727.2727272727274,400.00023376623375,409.92511688311686,401.49981818181817,409.92511688311686
872.7272727272727,400.0111636363636,411.92985454545453,401.9385090909091,411.92985454545453
1018.1818181818182,400.0305974025974,413.92764935064935,402.41433766233763,413.92764935064935
1163.6363636363637,400.0525696969697,415.9323393939394,402.9146909090909,415.9323393939394
1309.0909090909092,400.09181818181816,417.93018181818184,403.4396363636364,417.93018181818184
1454.5454545454547,400.1452727272727,419.93537662337667,404.00142857142856,419.93537662337667
1600.0000000000002,400.21959999999996,421.9408,404.5761333333333,421.9408
1745.4545454545455,400.3081818181818,423.9479090909091,405.1782727272727,423.9479090909091
1890.909090909091,400.41465454545454,425.95334545454546,405.7944,425.95334545454546
2036.3636363636365,400.5432467532467,427.9604415584416,406.43651948051945,427.9604415584416
2181.818181818182,400.70036363636365,429.9656363636364,407.10272727272724,429.9656363636364
2327.2727272727275,400.8710303030303,431.9711636363636,407.7817090909091,431.9711636363636
2472.727272727273,401.0680909090909,433.97816883116883,408.4822987012987,433.97816883116883
2618.1818181818185,401.2886909090909,435.9837090909091,409.2025212121212,435.9837090909091
2763.636363636364,401.52506493506496,437.9907012987013,409.94238961038957,437.9907012987013
2909.0909090909095,401.78838961038963,439.9958961038961,410.70262337662336,439.9958961038961
3054.545454545455,402.0731272727273,442.0015272727273,411.47494545454543,442.0015272727273
3200.0000000000005,402.37942857142855,444.00842857142857,412.263,444.00842857142857
3345.454545454546,402.7154909090909,446.0140727272727,413.06824242424244,446.0140727272727
3490.909090909091,403.0672727272727,448.0228831168831,413.89376623376626,448.0228831168831
3636.3636363636365,403.4378441558442,450.0361558441558,414.7295584415585,450.0361558441558
3781.818181818182,403.8358909090909,452.0418909090909,415.5843878787879,452.0418909090909
3927.2727272727275,404.24981818181817,454.0486883116883,416.452012987013,454.0486883116883
4072.727272727273,404.69134545454546,456.0570181818182,417.3401090909091,456.0570181818182
4218.181818181819,405.1523116883117,458.0712207792208,418.24485714285714,458.0712207792208
4363.636363636364,405.63306493506497,460.07641558441554,419.1619740259741,460.07641558441554
4509.09090909091,406.1293212121212,462.08225454545453,420.0915878787879,462.08225454545453
4654.545454545455,406.6505974025974,464.09184415584417,421.03644155844154,464.09184415584417
4800.0,407.1948,466.1048,421.99666666666667,466.1048
4945.454545454546,407.7528571428571,468.11148051948055,422.9712987012987,468.11148051948055
5090.909090909091,408.33433766233765,470.120025974026,423.96166233766235,470.120025974026
5236.363636363637,408.9399272727273,472.1326181818182,424.96305454545455,472.1326181818182
5381.818181818182,409.5549350649351,474.1426233766234,425.97814285714287,474.1426233766234
5527.272727272728,410.1879515151515,476.1551636363637,427.0100121212121,476.1551636363637
5672.727272727273,410.84623376623375,478.16174025974027,428.05153246753247,478.16174025974027
5818.181818181819,411.52542857142856,480.1708051948052,429.10862337662337,480.1708051948052
5963.636363636364,412.21625454545455,482.1829818181818,430.1813090909091,482.1829818181818
6109.09090909091,412.92151948051946,484.1934025974026,431.2631818181818,484.1934025974026
