Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,140.0,140.0,140.0,140.0
70.0,140.0,140.89135971178334,140.09565811541088,140.89135971178334
140.0,140.0,141.7827194235667,140.1913162308218,141.7827194235667
210.0,140.0,142.6898527777778,140.32346555555554,142.6898527777778
280.0,140.0,143.60374166666668,140.47124333333332,143.60374166666668
350.0,140.0,144.51713,140.62327583333334,144.51713
420.0,140.0,145.42713,140.80410916666665,145.42713
490.0,140.0024175,146.3395475,140.992195,146.3395475
560.0,140.00825083333334,147.25538083333333,141.19052833333333,147.25538083333333
630.0,140.01816833333334,148.16985277777778,141.40247555555555,148.16985277777778
700.0,140.029835,149.08374166666667,141.62025333333332,149.08374166666667
770.0,140.0422525,149.99788083333334,141.84078416666668,149.99788083333334
840.0,140.0597525,150.91371416666667,142.07995083333333,150.91371416666667
910.0,140.0812810399422,151.83033220376646,142.32636409088383,151.83033220376646
980.0,140.10850174990279,152.7480589967224,142.58301649908339,152.7480589967224
1050.0,140.13572245986333,153.66578578967835,142.8396689072829,153.66578578967835
1120.0,140.17441666666667,154.58191666666667,143.11108333333334,154.58191666666667
1190.0,140.21675000000002,155.49775,143.386,155.49775
1260.0,140.26925,156.41358333333332,143.666,156.41358333333332
1330.0,140.3257777777778,157.32861111111112,143.95405555555556,157.32861111111112
1400.0,140.388,158.2425,144.2535,158.2425
1470.0,140.45022222222224,159.1563888888889,144.55294444444445,159.1563888888889
1540.0,140.52391666666668,160.07191666666668,144.86058333333332,160.07191666666668
1610.0,140.602,160.988,145.1715,160.988
1680.0,140.69533333333334,161.90577777777779,145.49427777777777,161.90577777777779
1750.0,140.78866666666667,162.82355555555554,145.81705555555556,162.82355555555554
1820.0,140.89175,163.74025,146.14525,163.74025
1890.0,141.00258333333335,164.65608333333336,146.47775000000001,164.65608333333336
1960.0,141.11833333333334,165.57683333333333,146.82008333333334,165.57683333333333
2030.0,141.2375,166.4975,147.166,166.4975
2100.0,141.3736111111111,167.4113888888889,147.52377777777778,167.4113888888889
2170.0,141.50972222222222,168.32527777777776,147.88155555555554,168.32527777777776
2240.0,141.65125,169.24349999999998,148.24474999999998,169.24349999999998
2310.0,141.79708333333332,170.16516666666666,148.61225,170.16516666666666
2380.0,141.95766666666665,171.08355555555556,148.9912222222222,171.08355555555556
2450.0,142.121,172.00133333333332,149.37233333333333,172.00133333333332
2520.0,142.28908333333334,172.91858333333332,149.75608333333335,172.91858333333332
2590.0,142.46991666666668,173.83441666666667,150.14691666666667,173.83441666666667
2660.0,142.654,174.75025,150.541,174.75025
2730.0,142.84066666666666,175.66608333333335,150.93766666666667,175.66608333333335
2800.0,143.04372222222221,176.58355555555556,151.34416666666667,176.58355555555556
2870.0,143.24983333333333,177.50133333333332,151.7525,177.50133333333332
2940.0,143.45858333333334,178.42016666666666,152.16400000000002,178.42016666666666
3010.0,143.67441666666667,179.34183333333334,152.584,179.34183333333334
3080.0,143.89783333333335,180.26133333333334,153.00833333333335,180.26133333333334
3150.0,144.12727777777778,181.17911111111113,153.43611111111113,181.17911111111113
3220.0,144.35672222222223,182.0968888888889,153.86388888888888,182.0968888888889
3290.0,144.60150000000002,183.01275,154.30125,183.01275
3360.0,144.84966666666668,183.93016666666668,154.73875,183.93016666666668
3430.0,145.10633333333334,184.85183333333333,155.17625,184.85183333333333
3500.0,145.36733333333333,185.77133333333333,155.61483333333334,185.77133333333333
3570.0,145.63177777777778,186.68911111111112,156.05427777777777,186.68911111111112
3640.0,145.89622222222224,187.6068888888889,156.49372222222223,187.6068888888889
3710.0,146.17025,188.5285,156.94275000000002,188.5285
3780.0,146.4481111111111,189.4491111111111,157.39561111111112,189.4491111111111
3850.0,146.7358888888889,190.3668888888889,157.8583888888889,190.3668888888889
3920.0,147.02366666666668,191.28466666666668,158.32116666666667,191.28466666666668
3990.0,147.32233333333335,192.20108333333334,158.79075,192.20108333333334
4060.0,147.62566666666666,193.11691666666667,159.26325,193.11691666666667
4130.0,147.93475,194.0385,159.7415,194.0385
4200.0,148.24655555555555,194.95911111111113,160.223,194.95911111111113
4270.0,148.56544444444444,195.87688888888889,160.713,195.87688888888889
4340.0,148.88433333333333,196.79466666666667,161.203,196.79466666666667
4410.0,149.20866666666666,197.71516666666668,161.69708333333332,197.71516666666668
4480.0,149.5353333333333,198.63683333333333,162.19291666666666,198.63683333333333
4550.0,149.87733333333333,199.55466666666666,162.6945,199.55466666666666
4620.0,150.21955555555553,200.47244444444445,163.19616666666667,200.47244444444445
4690.0,150.565,201.39183333333332,163.7026666666667,201.39183333333332
4760.0,150.915,202.3135,164.216,202.3135
4830.0,151.27316666666667,203.23108333333334,164.73341666666667,203.23108333333334
4900.0,151.63483333333332,204.14691666666667,165.25258333333332,204.14691666666667
4970.0,152.00416666666666,205.0685,165.78133333333332,205.0685
5040.0,152.3736111111111,205.99016666666665,166.31022222222222,205.99016666666665
5110.0,152.7495,206.90941666666666,166.83991666666668,206.90941666666666
5180.0,153.1345,207.82524999999998,167.37075000000002,207.82524999999998
5250.0,153.5222222222222,208.74516666666665,167.91111111111113,208.74516666666665
5320.0,153.9111111111111,209.66683333333333,168.45555555555555,209.66683333333333
5390.0,154.30175,210.58775,169.00050000000002,210.58775
5460.0,154.70425,211.50358333333332,169.54883333333333,211.50358333333332
5530.0,155.10916666666665,212.42183333333332,170.09958333333333,212.42183333333332
5600.0,155.51749999999998,213.3435,170.65375,213.3435
5670.0,155.934,214.26244444444444,171.212,214.26244444444444
5740.0,156.35399999999998,215.18022222222223,171.772,215.18022222222223
5810.0,156.7755,216.0985,172.3335,216.0985
5880.0,157.20716666666667,217.02016666666665,172.90516666666667,217.02016666666665
5950.0,157.64044444444446,217.94183333333334,173.47844444444445,217.94183333333334
6020.0,158.07600000000002,218.86350000000002,174.054,218.86350000000002
6090.0,158.51155555555556,219.78516666666667,174.62955555555556,219.78516666666667
6160.0,158.95858333333334,220.70191666666668,175.21166666666667,220.70191666666668
6230.0,159.4085,221.6185,175.79575,221.6185
6300.0,159.8635,222.54016666666666,176.38491666666667,222.54016666666666
6370.0,160.3217222222222,223.46183333333335,176.97488888888887,223.46183333333335
6440.0,160.78449999999998,224.3835,177.566,224.3835
6510.0,161.24727777777778,225.30516666666665,178.1571111111111,225.30516666666665
6580.0,161.71824999999998,226.22191666666666,178.75641666666667,226.22191666666666
6650.0,162.192,227.13850000000002,179.358,227.13850000000002
6720.0,162.67422222222223,228.06016666666667,179.96466666666666,228.06016666666667
6790.0,163.15644444444445,228.98183333333333,180.57133333333334,228.98183333333333
6860.0,163.63325,229.90675,181.165,229.90675
6930.0,164.10575,230.83425,181.74833333333333,230.83425
7000.0,164.58316666666667,231.75683333333333,182.33658333333332,231.75683333333333
7070.0,165.0625,232.678,182.927,232.678
7140.0,165.54861111111111,233.59577777777778,183.5258888888889,233.59577777777778
7210.0,166.03472222222223,234.51355555555554,184.12477777777775,234.51355555555554
7280.0,166.523,235.43349999999998,184.72799999999998,235.43349999999998
7350.0,167.013,236.35516666666666,185.33466666666666,236.35516666666666
7420.0,167.50955555555555,237.27683333333334,185.94461111111113,237.27683333333334
7490.0,168.00733333333335,238.1985,186.55516666666668,238.1985
7560.0,168.50775000000002,239.11858333333333,187.16783333333333,239.11858333333333
7630.0,169.01525,240.03441666666666,187.78616666666667,240.03441666666666
7700.0,169.52275,240.9535,188.40775,240.9535
7770.0,170.03025000000002,241.87516666666667,189.03191666666666,241.87516666666667
7840.0,170.54922222222223,242.79683333333332,189.661,242.79683333333332
7910.0,171.07033333333334,243.7185,190.291,243.7185
7980.0,171.59091666666666,244.64016666666666,190.92258333333334,244.64016666666666
8050.0,172.11008333333334,245.56183333333334,191.55841666666666,245.56183333333334
8120.0,172.63683333333333,246.48133333333334,192.1975,246.48133333333334
8190.0,173.16961111111112,247.39911111111113,192.83916666666667,247.39911111111113
8260.0,173.7023888888889,248.3168888888889,193.48083333333335,248.3168888888889
8330.0,174.239,249.23850000000002,194.1225,249.23850000000002
8400.0,174.77725,250.16016666666667,194.76733333333334,250.16016666666667
8470.0,175.31975,251.08183333333335,195.42066666666668,251.08183333333335
8540.0,175.86766666666668,252.0035,196.074,252.0035
8610.0,176.4198888888889,252.92516666666668,196.72733333333332,252.92516666666668
8680.0,176.9721111111111,253.84683333333334,197.38066666666666,253.84683333333334
8750.0,177.52625,254.76850000000002,198.03975,254.76850000000002
8820.0,178.08305555555557,255.68911111111112,198.7005,255.68911111111112
8890.0,178.64694444444444,256.6068888888889,199.3655,256.6068888888889
8960.0,179.21083333333334,257.5246666666667,200.0305,257.5246666666667
9030.0,179.78016666666667,258.4451666666667,200.69958333333332,258.4451666666667
9100.0,180.35183333333336,259.3668333333333,201.37041666666667,259.3668333333333
9170.0,180.92925,260.2885,202.04125,260.2885
9240.0,181.50727777777777,261.2101666666666,202.71366666666668,261.2101666666666
9310.0,182.08672222222222,262.1318333333333,203.39033333333333,262.1318333333333
9380.0,182.66616666666667,263.0535,204.067,263.0535
