Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.5,100.5,100.5,100.5
70.0,100.5,100.53637072156914,100.50454634019614,100.53637072156914
140.0,100.5,100.57274144313827,100.50909268039229,100.57274144313827
210.0,100.5,100.61201714285714,100.51400214285714,100.61201714285714
280.0,100.5,100.65201714285713,100.51900214285713,100.65201714285713
350.0,100.5,100.69201714285714,100.52400214285714,100.69201714285714
420.0,100.5,100.73201714285713,100.52900214285714,100.73201714285713
490.0,100.5,100.76988266666666,100.53747066666666,100.76988266666666
560.0,100.5,100.807216,100.546804,100.807216
630.0,100.5,100.84630285714286,100.55657571428571,100.84630285714286
700.0,100.5,100.88630285714287,100.5665757142857,100.88630285714287
770.0,100.5,100.936824,100.579206,100.936824
840.0,100.5,100.992824,100.593206,100.992824
910.0,100.5,101.0483032207384,100.60514604013426,101.0483032207384
980.0,100.5,101.10329143754909,100.6151438977362,101.10329143754909
1050.0,100.50257142857143,101.166,100.63028571428572,101.166
1120.0,100.50757142857144,101.23599999999999,100.65028571428572,101.23599999999999
1190.0,100.51,101.30839999999999,100.6696,101.30839999999999
1260.0,100.51,101.38306666666666,100.68826666666666,101.38306666666666
1330.0,100.51185714285715,101.4597142857143,100.70742857142858,101.4597142857143
1400.0,100.51685714285715,101.5397142857143,100.72742857142858,101.5397142857143
1470.0,100.52173333333333,101.6316,100.74866666666667,101.6316
1540.0,100.5264,101.7436,100.772,101.7436
1610.0,100.53114285714285,101.85628571428572,100.79685714285715,101.85628571428572
1680.0,100.53614285714286,101.97128571428571,100.82685714285714,101.97128571428571
1750.0,100.54114285714286,102.09085714285715,100.85799999999999,102.09085714285715
1820.0,100.54614285714285,102.22585714285714,100.893,102.22585714285714
1890.0,100.55106666666667,102.3652,100.92853333333333,102.3652
1960.0,100.55573333333334,102.5192,100.96586666666667,102.5192
2030.0,100.56085714285715,102.67328571428571,101.00385714285714,102.67328571428571
2100.0,100.57085714285714,102.82828571428571,101.04885714285714,102.82828571428571
2170.0,100.5808,102.9864,101.09440000000001,102.9864
2240.0,100.59013333333333,103.17773333333334,101.14573333333334,103.17773333333334
2310.0,100.59946666666666,103.36906666666667,101.19706666666667,103.36906666666667
2380.0,100.61414285714285,103.56385714285715,101.25185714285715,103.56385714285715
2450.0,100.62914285714285,103.75885714285714,101.30685714285714,103.75885714285714
2520.0,100.64414285714285,103.97742857142856,101.36657142857143,103.97742857142856
2590.0,100.65914285714285,104.19742857142856,101.42657142857144,104.19742857142856
2660.0,100.6732,104.4476,101.49600000000001,104.4476
2730.0,100.6872,104.6996,101.566,104.6996
2800.0,100.706,104.95,101.64,104.95
2870.0,100.726,105.2,101.715,105.2
2940.0,100.74866666666667,105.52626666666667,101.80093333333333,105.52626666666667
3010.0,100.772,105.8716,101.8896,105.8716
3080.0,100.79642857142858,106.21671428571429,101.9857142857143,106.21671428571429
3150.0,100.82142857142857,106.56171428571429,102.08571428571429,106.56171428571429
3220.0,100.84642857142858,106.94614285714286,102.19228571428572,106.94614285714286
3290.0,100.87142857142857,107.35114285714286,102.30228571428572,107.35114285714286
3360.0,100.90146666666666,107.7936,102.4228,107.7936
3430.0,100.93413333333334,108.2556,102.5488,108.2556
3500.0,100.97057142857143,108.71914285714286,102.682,108.71914285714286
3570.0,101.01057142857142,109.18414285714286,102.822,109.18414285714286
3640.0,101.05160000000001,109.7148,102.9716,109.7148
3710.0,101.09360000000001,110.30746666666667,103.13026666666667,110.30746666666667
3780.0,101.13671428571429,110.90100000000001,103.295,110.90100000000001
3850.0,101.18171428571428,111.49600000000001,103.47,111.49600000000001
3920.0,101.23042857142856,112.12442857142858,103.65242857142857,112.12442857142858
3990.0,101.28542857142857,112.80942857142857,103.84742857142857,112.80942857142857
4060.0,101.34253333333332,113.526,104.0532,113.526
4130.0,101.4032,114.29599999999999,104.27720000000001,114.29599999999999
4200.0,101.46600000000001,115.06714285714285,104.5037142857143,115.06714285714285
4270.0,101.536,115.84214285714286,104.7387142857143,115.84214285714286
4340.0,101.60706666666667,116.6672,104.98293333333334,116.6672
4410.0,101.68173333333334,117.6612,105.25826666666667,117.6612
4480.0,101.75728571428571,118.65571428571428,105.53614285714286,118.65571428571428
4550.0,101.84228571428571,119.65571428571428,105.84114285714286,119.65571428571428
4620.0,101.92857142857143,120.66771428571428,106.14828571428572,120.66771428571428
4690.0,102.02857142857142,121.80771428571428,106.47828571428572,121.80771428571428
4760.0,102.1292,122.9588,106.812,122.9588
4830.0,102.23653333333333,124.22813333333333,107.18533333333333,124.22813333333333
4900.0,102.34386666666666,125.49746666666665,107.55866666666667,125.49746666666665
4970.0,102.46314285714286,126.77214285714285,107.95714285714286,126.77214285714285
5040.0,102.58314285714286,128.04714285714286,108.35714285714285,128.04714285714286
5110.0,102.72200000000001,129.5852,108.8068,129.5852
5180.0,102.862,131.1392,109.25946666666665,131.1392
5250.0,103.01,132.69799999999998,109.746,132.69799999999998
5320.0,103.16,134.25799999999998,110.241,134.25799999999998
5390.0,103.326,135.95,110.76400000000001,135.95
5460.0,103.496,137.675,111.29400000000001,137.675
5530.0,103.67933333333333,139.52826666666667,111.8704,139.52826666666667
5600.0,103.866,141.4136,112.4584,141.4136
5670.0,104.068,143.30857142857144,113.07071428571429,143.30857142857144
5740.0,104.27799999999999,145.20857142857145,113.69571428571429,145.20857142857145
5810.0,104.50026666666666,147.30746666666667,114.35159999999999,147.30746666666667
5880.0,104.72893333333333,149.51013333333336,115.0236,149.51013333333336
5950.0,104.97114285714285,151.71914285714286,115.72028571428571,151.71914285714286
6020.0,105.22614285714285,153.93414285714286,116.44028571428572,153.93414285714286
6090.0,105.49142857142857,156.22885714285712,117.18857142857144,156.22885714285712
6160.0,105.76642857142858,158.59885714285713,117.96357142857143,158.59885714285713
6230.0,106.0584,161.0484,118.772,161.0484
6300.0,106.3664,163.57306666666668,119.612,163.57306666666668
6370.0,106.68257142857144,166.09785714285715,120.47057142857143,166.09785714285715
6440.0,107.01257142857143,168.62285714285716,121.36057142857143,168.62285714285716
6510.0,107.3552,171.22573333333335,122.27013333333333,171.22573333333335
6580.0,107.7192,173.9604,123.2128,173.9604
6650.0,108.09142857142857,176.69514285714286,124.16857142857143,176.69514285714286
6720.0,108.49142857142857,179.43014285714284,125.16857142857143,179.43014285714284
6790.0,108.8982857142857,182.18114285714285,126.17771428571429,182.18114285714285
6860.0,109.32828571428571,184.98614285714285,127.2177142857143,184.98614285714285
6930.0,109.76559999999999,187.80813333333333,128.26426666666669,187.80813333333333
7000.0,110.2276,190.68746666666667,129.33293333333333,190.68746666666667
7070.0,110.69285714285715,193.56642857142856,130.40428571428572,193.56642857142856
7140.0,111.19285714285715,196.44142857142856,131.50428571428571,196.44142857142856
7210.0,111.69600000000001,199.3164,132.6084,199.3164
7280.0,112.23266666666667,202.19106666666667,133.75639999999999,202.19106666666667
7350.0,112.76933333333334,205.06573333333333,134.9044,205.06573333333333
7420.0,113.33742857142857,207.94071428571428,136.0872857142857,207.94071428571428
7490.0,113.90742857142857,210.81571428571428,137.27228571428572,210.81571428571428
7560.0,114.51514285714285,213.62471428571428,138.48557142857143,213.62471428571428
7630.0,115.12514285714285,216.42971428571428,139.70057142857144,216.42971428571428
7700.0,115.7672,219.1772,140.936,219.1772
7770.0,116.41120000000001,221.9212,142.17266666666666,221.9212
7840.0,117.092,224.658,143.436,224.658
7910.0,117.782,227.393,144.70600000000002,227.393
7980.0,118.49866666666667,229.97093333333333,145.9792,229.97093333333333
