Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,100.0,100.0,100.0,100.0
70.0,100.0,101.24569721374293,100.1182048450997,101.24569721374293
140.0,100.0,102.49139442748587,100.2364096901994,102.49139442748587
210.0,100.0,103.76054642857143,100.42008571428572,103.76054642857143
280.0,100.0,105.03554642857144,100.62008571428571,105.03554642857144
350.0,100.0,106.31454857142857,100.85210285714285,106.31454857142857
420.0,100.0,107.59454857142856,101.09210285714286,107.59454857142856
490.0,100.00373533333334,108.87721666666665,101.36412,108.87721666666665
560.0,100.008402,110.16055,101.64412,110.16055
630.0,100.01986357142857,111.44169142857142,101.94384714285714,111.44169142857142
700.0,100.03486357142857,112.72169142857142,102.25384714285714,112.72169142857142
770.0,100.05534333333334,114.00388333333333,102.580944,114.00388333333333
840.0,100.07867666666667,115.28721666666667,102.916944,115.28721666666667
910.0,100.1080111404699,116.57126615725201,103.26525744483325,116.57126615725201
980.0,100.14300364207669,117.85599085910162,103.62518031850317,117.85599085910162
1050.0,100.18828571428571,119.13828571428571,103.99542857142858,119.13828571428571
1120.0,100.2432857142857,120.41828571428572,104.37542857142857,120.41828571428572
1190.0,100.3108,121.7024,104.7664,121.7024
1260.0,100.39013333333332,122.9904,105.16773333333333,122.9904
1330.0,100.47528571428572,124.27542857142856,105.57785714285714,124.27542857142856
1400.0,100.57028571428572,125.55542857142856,106.00285714285714,125.55542857142856
1470.0,100.67333333333333,126.83840000000001,106.43293333333332,126.83840000000001
1540.0,100.78999999999999,128.1264,106.8716,128.1264
1610.0,100.91085714285714,129.4137142857143,107.31514285714285,129.4137142857143
1680.0,101.04585714285714,130.6987142857143,107.77514285714285,130.6987142857143
1750.0,101.18657142857144,131.98371428571429,108.23971428571429,131.98371428571429
1820.0,101.34657142857144,133.26871428571428,108.71971428571429,133.26871428571428
1890.0,101.5116,134.5544,109.202,134.5544
1960.0,101.6936,135.8424,109.69200000000001,135.8424
2030.0,101.87757142857143,137.13014285714286,110.18371428571429,137.13014285714286
2100.0,102.08257142857143,138.41514285714285,110.69371428571428,138.41514285714285
2170.0,102.2892,139.70000000000002,111.20519999999999,139.70000000000002
2240.0,102.5132,140.98333333333335,111.73253333333334,140.98333333333335
2310.0,102.7372,142.26666666666668,112.25986666666667,142.26666666666668
2380.0,102.981,143.561,112.79914285714287,143.561
2450.0,103.226,144.856,113.33914285714286,144.856
2520.0,103.48985714285713,146.14157142857144,113.87914285714287,146.14157142857144
2590.0,103.75485714285713,147.42657142857144,114.41914285714286,147.42657142857144
2660.0,104.0384,148.71,114.97800000000001,148.71
2730.0,104.32306666666666,149.99333333333334,115.53800000000001,149.99333333333334
2800.0,104.624,151.282,116.11,151.282
2870.0,104.929,152.572,116.685,152.572
2940.0,105.2476,153.8604,117.2704,153.8604
3010.0,105.56960000000001,155.1484,117.8584,155.1484
3080.0,105.90342857142858,156.43442857142858,118.45757142857143,156.43442857142858
3150.0,106.24342857142857,157.71942857142858,119.06257142857143,157.71942857142858
3220.0,106.59328571428571,159.0077142857143,119.67742857142856,159.0077142857143
3290.0,106.9482857142857,160.29771428571428,120.29742857142857,160.29771428571428
3360.0,107.3184,161.58333333333334,120.924,161.58333333333334
3430.0,107.6964,162.86666666666667,121.554,162.86666666666667
3500.0,108.08314285714286,164.15342857142858,122.19171428571428,164.15342857142858
3570.0,108.47814285714286,165.44342857142857,122.8367142857143,165.44342857142857
3640.0,108.8812,166.73239999999998,123.49080000000001,166.73239999999998
3710.0,109.29186666666666,168.0204,124.15346666666666,168.0204
3780.0,109.70971428571428,169.30914285714286,124.81885714285714,169.30914285714286
3850.0,110.13971428571428,170.59914285714285,125.48885714285714,170.59914285714285
3920.0,110.57528571428571,171.8872857142857,126.16442857142857,171.8872857142857
3990.0,111.0202857142857,173.1722857142857,126.84942857142858,173.1722857142857
4060.0,111.46986666666666,174.46013333333332,127.53826666666667,174.46013333333332
4130.0,111.9272,175.7528,128.2336,175.7528
4200.0,112.38971428571429,177.0437142857143,128.93114285714287,177.0437142857143
4270.0,112.86971428571428,178.32871428571428,129.63614285714286,178.32871428571428
4340.0,113.35306666666666,179.61546666666666,130.34533333333334,179.61546666666666
4410.0,113.84773333333332,180.90813333333332,131.06866666666667,180.90813333333332
4480.0,114.34371428571428,182.20014285714285,131.79257142857142,182.20014285714285
4550.0,114.85371428571428,183.48514285714285,132.5225714285714,183.48514285714285
4620.0,115.365,184.77057142857143,133.25342857142857,184.77057142857143
4690.0,115.89,186.06057142857142,133.99342857142855,186.06057142857142
4760.0,116.41640000000001,187.3512,134.7344,187.3512
4830.0,116.95773333333334,188.64853333333335,135.48573333333331,188.64853333333335
4900.0,117.49906666666666,189.9458666666667,136.23706666666666,189.9458666666667
