Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input (C)
0.0,101.8,101.8,101.8,101.8
145.45454545454547,101.8,101.95115105067693,101.81889388133462,101.95115105067693
290.90909090909093,101.8,102.11650181818182,101.83956272727274,102.11650181818182
436.3636363636364,101.8,102.2933510909091,101.8706383030303,102.2933510909091
581.8181818181819,101.8,102.49698745454546,101.90942618181818,102.49698745454546
727.2727272727274,101.80022018181818,102.69440363636363,101.95132109090909,102.69440363636363
872.7272727272727,101.80991715151515,102.88834303030303,102.00950290909091,102.88834303030303
1018.1818181818182,101.8102987012987,103.09687012987013,102.06179220779221,103.09687012987013
1163.6363636363637,101.82064242424242,103.3386303030303,102.12449696969698,103.3386303030303
1309.0909090909092,101.83036363636363,103.61981818181818,102.19290909090908,103.61981818181818
1454.5454545454547,101.84140606060606,103.9032,102.27632727272727,103.9032
1600.0000000000002,101.86085714285714,104.22285714285714,102.36385714285714,104.22285714285714
1745.4545454545455,101.88163636363636,104.53863636363637,102.45818181818181,104.53863636363637
1890.909090909091,101.90338181818183,104.90621818181818,102.56352727272727,104.90621818181818
2036.3636363636365,101.93264935064936,105.30444155844155,102.6805974025974,105.30444155844155
2181.818181818182,101.9647515151515,105.71820606060606,102.8066303030303,105.71820606060606
2327.2727272727275,102.0037922077922,106.1936103896104,102.94327272727273,106.1936103896104
2472.727272727273,102.04668831168831,106.67822077922078,103.09140259740259,106.67822077922078
2618.1818181818185,102.09967272727273,107.21189090909091,103.25901818181819,107.21189090909091
2763.636363636364,102.1584155844156,107.76574025974026,103.43664935064935,107.76574025974026
2909.0909090909095,102.22170909090909,108.34709090909091,103.63512727272727,108.34709090909091
3054.545454545455,102.29027272727272,109.02685714285715,103.84228571428572,109.02685714285715
3200.0000000000005,102.36485714285713,109.71814285714287,104.07271428571428,109.71814285714287
3345.454545454546,102.45096969696971,110.44566060606061,104.31661818181819,110.44566060606061
3490.909090909091,102.54922077922078,111.21031168831168,104.57997402597402,111.21031168831168
3636.3636363636365,102.6558909090909,112.0049696969697,104.85688484848485,112.0049696969697
3781.818181818182,102.77185714285714,112.92485714285715,105.1615974025974,112.92485714285715
3927.2727272727275,102.8908961038961,113.85577922077921,105.48605194805195,113.85577922077921
4072.727272727273,103.02872727272727,114.85625454545455,105.8281090909091,114.85625454545455
4218.181818181819,103.17662337662338,115.89659740259741,106.20033766233766,115.89659740259741
4363.636363636364,103.33756363636364,116.98501818181818,106.59362424242424,116.98501818181818
4509.09090909091,103.51511688311689,118.18075324675326,107.01777922077922,118.18075324675326
4654.545454545455,103.70502597402599,119.40042857142858,107.46742857142857,119.40042857142858
4800.0,103.90746666666666,120.67706666666668,107.9364,120.67706666666668
4945.454545454546,104.12514285714286,121.999012987013,108.43805194805195,121.999012987013
5090.909090909091,104.36130909090909,123.39098181818183,108.96825454545456,123.39098181818183
5236.363636363637,104.61564935064936,124.91179220779222,109.52945454545454,124.91179220779222
5381.818181818182,104.88222077922079,126.44916883116883,110.12151948051948,126.44916883116883
